hdong_code,gu_name,hdong_name,HVI_index,reliability
11010530,종로구,사직동,34,high
11010540,종로구,삼청동,5,high
11010550,종로구,부암동,47,high
11010560,종로구,평창동,35,high
11010570,종로구,무악동,35,high
11010580,종로구,교남동,59,high
11010600,종로구,가회동,20,high
11010610,종로구,종로1·2·3·4가동,91,medium
11010630,종로구,종로5·6가동,79,high
11010640,종로구,이화동,34,high
11010670,종로구,창신1동,41,high
11010680,종로구,창신2동,69,high
11010690,종로구,창신3동,81,high
11010700,종로구,숭인1동,43,high
11010710,종로구,숭인2동,54,high
11010720,종로구,청운효자동,18,high
11010730,종로구,혜화동,62,high
11020540,중구,회현동,72,high
11020550,중구,명동,67,medium
11020570,중구,필동,56,high
11020580,중구,장충동,72,high
11020590,중구,광희동,95,high
11020650,중구,신당5동,52,high
11020670,중구,황학동,61,high
11020680,중구,중림동,68,high
11020690,중구,신당동,84,high
11020700,중구,다산동,52,high
11020710,중구,약수동,40,high
11020720,중구,청구동,40,high
11020730,중구,동화동,18,high
11030510,용산구,후암동,32,high
11030520,용산구,용산2가동,76,high
11030530,용산구,남영동,47,high
11030570,용산구,원효로2동,72,high
11030580,용산구,효창동,28,high
11030590,용산구,용문동,43,high
11030630,용산구,이촌1동,66,medium
11030640,용산구,이촌2동,98,high
11030650,용산구,이태원1동,41,high
11030660,용산구,이태원2동,43,high
11030690,용산구,서빙고동,71,high
11030700,용산구,보광동,85,high
11030710,용산구,청파동,70,high
11030720,용산구,원효로1동,35,high
11030730,용산구,한강로동,35,high
11030740,용산구,한남동,67,high
11040520,성동구,왕십리2동,44,high
11040540,성동구,마장동,46,high
11040550,성동구,사근동,64,high
11040560,성동구,행당1동,49,high
11040570,성동구,행당2동,22,high
11040580,성동구,응봉동,48,high
11040590,성동구,금호1가동,70,high
11040620,성동구,금호4가동,75,high
11040650,성동구,성수1가1동,44,high
11040660,성동구,성수1가2동,60,high
11040670,성동구,성수2가1동,54,high
11040680,성동구,성수2가3동,53,high
11040690,성동구,송정동,35,high
11040700,성동구,용답동,58,high
11040710,성동구,왕십리도선동,59,high
11040720,성동구,금호2·3가동,67,high
11040730,성동구,옥수동,30,high
11050530,광진구,화양동,70,high
11050540,광진구,군자동,44,high
