행정동코드,자치구,행정동,CRIME_SCORE
11010530,종로구,사직동,35
11010540,종로구,삼청동,36
11010550,종로구,부암동,26
11010560,종로구,평창동,40
11010570,종로구,무악동,43
11010580,종로구,교남동,43
11010600,종로구,가회동,36
11010610,종로구,종로1·2·3·4가동,61
11010630,종로구,종로5·6가동,64
11010640,종로구,이화동,46
11010670,종로구,창신1동,46
11010680,종로구,창신2동,21
11010690,종로구,창신3동,59
11010700,종로구,숭인1동,59
11010710,종로구,숭인2동,59
11010720,종로구,청운효자동,21
11010730,종로구,혜화동,20
11020520,중구,소공동,36
11020540,중구,회현동,31
11020550,중구,명동,36
11020570,중구,필동,24
11020580,중구,장충동,15
11020590,중구,광희동,41
11020600,중구,을지로동,44
11020650,중구,신당5동,35
11020670,중구,황학동,61
11020680,중구,중림동,43
11020690,중구,신당동,61
11020700,중구,다산동,40
11020710,중구,약수동,40
11020720,중구,청구동,40
11020730,중구,동화동,35
11030510,용산구,후암동,62
11030520,용산구,용산2가동,62
11030530,용산구,남영동,51
11030570,용산구,원효로2동,68
11030580,용산구,효창동,68
11030590,용산구,용문동,68
11030630,용산구,이촌1동,0
11030640,용산구,이촌2동,34
11030650,용산구,이태원1동,54
11030660,용산구,이태원2동,54
11030690,용산구,서빙고동,30
11030700,용산구,보광동,30
11030710,용산구,청파동,68
11030720,용산구,원효로1동,68
11030730,용산구,한강로동,28
11030740,용산구,한남동,56
11040520,성동구,왕십리2동,25
11040540,성동구,마장동,52
11040550,성동구,사근동,62
11040560,성동구,행당1동,25
11040570,성동구,행당2동,25
11040580,성동구,응봉동,11
11040590,성동구,금호1가동,11
11040620,성동구,금호4가동,21
11040650,성동구,성수1가1동,32
11040660,성동구,성수1가2동,66
11040670,성동구,성수2가1동,32
11040680,성동구,성수2가3동,66
11040690,성동구,송정동,66
11040700,성동구,용답동,46
11040710,성동구,왕십리도선동,52
11040720,성동구,금호2·3가동,18
11040730,성동구,옥수동,21
11050530,광진구,화양동,70
11050540,광진구,군자동,70
11050550,광진구,중곡1동,15
11050560,광진구,중곡2동,22
11050570,광진구,중곡3동,24
11050580,광진구,중곡4동,14
11050590,광진구,능동,70
11050600,광진구,구의1동,10
11050610,광진구,구의2동,10
11050620,광진구,구의3동,76
11050630,광진구,광장동,76
11050640,광진구,자양1동,31
11050650,광진구,자양2동,45
11050660,광진구,자양3동,45
11050670,광진구,자양4동,56
11060710,동대문,회기동,6
11060720,동대문,휘경1동,38
11060730,동대문,휘경2동,38
11060800,동대문,청량리동,57
11060810,동대문,용신동,65
11060820,동대문,제기동,69
11060830,동대문,전농1동,41
11060840,동대문,전농2동,25
11060860,동대문,답십리2동,40
11060870,동대문,장안1동,72
11060880,동대문,장안2동,31
11060890,동대문,이문1동,54
11060900,동대문,이문2동,54
11060910,동대문,답십리1동,40
11070520,중랑구,면목2동,75
11070540,중랑구,면목4동,28
11070550,중랑구,면목5동,28
11070570,중랑구,면목7동,28
11070590,중랑구,상봉1동,46
11070600,중랑구,상봉2동,75
11070610,중랑구,중화1동,28
11070620,중랑구,중화2동,28
11070640,중랑구,묵1동,49
11070650,중랑구,묵2동,49
11070680,중랑구,망우3동,40
11070690,중랑구,신내1동,46
11070700,중랑구,신내2동,46
11070710,중랑구,면목본동,45
11070720,중랑구,면목3·8동,9
11070730,중랑구,망우본동,40
11080580,성북구,돈암1동,59
11080590,성북구,돈암2동,55
11080600,성북구,안암동,51
11080610,성북구,보문동,51
11080620,성북구,정릉1동,59
11080630,성북구,정릉2동,15
11080640,성북구,정릉3동,46
11080650,성북구,정릉4동,46
11080660,성북구,길음1동,59
11080680,성북구,길음2동,38
11080710,성북구,월곡1동,38
11080720,성북구,월곡2동,38
11080760,성북구,장위1동,31
11080770,성북구,장위2동,31
11080780,성북구,장위3동,31
11080810,성북구,성북동,19
11080820,성북구,삼선동,60
11080830,성북구,동선동,55
11080840,성북구,종암동,29
11080850,성북구,석관동,9
11090600,강북구,번1동,61
11090610,강북구,번2동,61
11090620,강북구,번3동,5
11090630,강북구,수유1동,48
11090640,강북구,수유2동,16
11090650,강북구,수유3동,71
11090690,강북구,삼양동,44
11090700,강북구,미아동,72
11090710,강북구,송중동,48
11090720,강북구,송천동,72
11090730,강북구,삼각산동,44
11090740,강북구,우이동,16
11090750,강북구,인수동,29
11100510,도봉구,쌍문1동,30
11100520,도봉구,쌍문2동,26
11100530,도봉구,쌍문3동,30
11100540,도봉구,쌍문4동,26
11100550,도봉구,방학1동,45
11100560,도봉구,방학2동,32
11100570,도봉구,방학3동,32
11100590,도봉구,창1동,50
11100600,도봉구,창2동,48
11100610,도봉구,창3동,48
11100620,도봉구,창4동,50
11100630,도봉구,창5동,50
11100640,도봉구,도봉1동,38
11100650,도봉구,도봉2동,12
11110510,노원구,월계1동,52
11110520,노원구,월계2동,52
11110530,노원구,월계3동,52
11110560,노원구,공릉2동,68
11110580,노원구,하계1동,66
11110590,노원구,하계2동,66
11110600,노원구,중계본동,39
11110610,노원구,중계1동,39
11110640,노원구,중계4동,39
11110650,노원구,상계1동,48
11110660,노원구,상계2동,66
11110690,노원구,상계5동,48
11110720,노원구,상계8동,48
