순위,GU_NAM,ADM_NM,ADM_CD,disabled_index
1,강서구,등촌3동,11160540,86
2,강서구,가양3동,11160660,81
3,강동구,천호3동,11250630,77
4,강동구,암사1동,11250720,76
5,관악구,청림동,11210540,75
6,구로구,구로4동,11170550,74
7,강북구,삼각산동,11090730,74
8,중랑구,면목본동,11070710,74
9,관악구,성현동,11210790,74
10,강동구,천호1동,11250610,73
11,강북구,번3동,11090620,73
12,노원구,하계2동,11110590,73
13,도봉구,창2동,11100600,73
14,성동구,행당2동,11040570,72
15,종로구,창신2동,11010680,72
16,강북구,수유2동,11090640,71
17,은평구,역촌동,11120740,71
18,노원구,중계2·3동,11110780,71
19,중구,약수동,11020710,71
20,서대문구,북가좌2동,11130720,71
21,동작구,상도3동,11200550,70
22,동대문구,답십리2동,11060860,70
23,중랑구,신내2동,11070700,70
24,영등포구,신길4동,11190660,70
25,강서구,화곡8동,11160630,70
26,강서구,화곡2동,11160570,70
27,강서구,화곡1동,11160730,70
28,중랑구,면목2동,11070520,69
29,중랑구,상봉1동,11070590,69
30,도봉구,쌍문2동,11100520,69
31,성동구,왕십리2동,11040520,69
32,양천구,신월2동,11150580,69
33,종로구,창신3동,11010690,69
34,은평구,응암3동,11120730,69
35,중구,황학동,11020670,69
36,관악구,중앙동,11210610,69
37,광진구,자양1동,11050640,69
38,강북구,번1동,11090600,69
39,중랑구,중화2동,11070620,68
40,강동구,성내2동,11250660,68
41,동작구,사당4동,11200660,68
42,구로구,개봉2동,11170640,68
43,양천구,신정4동,11150720,68
44,강북구,송천동,11090720,68
45,금천구,독산2동,11180530,68
46,성북구,정릉1동,11080620,68
47,광진구,중곡2동,11050560,68
48,구로구,오류1동,11170670,68
49,용산구,용문동,11030590,68
50,양천구,목3동,11150530,68
51,광진구,구의1동,11050600,68
52,관악구,난곡동,11210810,68
53,강남구,수서동,11230750,68
54,중구,신당5동,11020650,68
55,성동구,금호1가동,11040590,68
56,관악구,보라매동,11210520,68
57,관악구,행운동,11210570,67
58,중랑구,면목4동,11070540,67
59,동대문구,이문2동,11060900,67
60,강서구,화곡3동,11160580,67
61,마포구,공덕동,11140770,67
62,성동구,금호2·3가동,11040720,67
63,도봉구,쌍문3동,11100530,67
64,강북구,삼양동,11090690,67
65,도봉구,방학1동,11100550,67
66,성동구,왕십리도선동,11040710,67
67,강북구,수유3동,11090650,67
68,은평구,대조동,11120580,67
69,성북구,장위1동,11080760,67
70,은평구,신사1동,11120650,67
71,강서구,화곡본동,11160550,67
72,영등포구,대림1동,11190700,66
73,관악구,신사동,11210680,66
74,도봉구,창5동,11100630,66
75,중구,동화동,11020730,66
76,양천구,목4동,11150540,66
77,도봉구,도봉2동,11100650,66
78,중랑구,상봉2동,11070600,66
79,성북구,월곡1동,11080710,66
80,송파구,마천2동,11240560,66
81,중랑구,중화1동,11070610,66
82,강동구,성내3동,11250670,66
83,관악구,신원동,11210650,66
84,동대문구,장안2동,11060880,66
85,동대문구,휘경1동,11060720,66
86,도봉구,창3동,11100610,66
87,동대문구,전농1동,11060830,66
88,금천구,독산4동,11180550,65
89,동대문구,답십리1동,11060910,65
90,성북구,돈암2동,11080590,65
91,구로구,고척2동,11170620,65
92,중랑구,묵2동,11070650,65
93,금천구,독산3동,11180540,65
94,강북구,송중동,11090710,65
95,구로구,개봉3동,11170650,65
96,광진구,중곡3동,11050570,65
97,강북구,미아동,11090700,65
98,강동구,길동,11250740,65
99,동대문구,장안1동,11060870,65
100,서대문구,남가좌2동,11130700,65
101,성북구,돈암1동,11080580,65
102,관악구,서원동,11210640,65
103,성북구,길음1동,11080660,65
104,송파구,거여1동,11240530,65
105,금천구,시흥4동,11180600,65
106,노원구,중계1동,11110610,65
107,중랑구,묵1동,11070640,65
108,종로구,숭인2동,11010710,65
109,영등포구,영등포본동,11190730,65
110,마포구,망원2동,11140700,65
111,중구,다산동,11020700,65
112,성북구,장위3동,11080780,64
113,동작구,상도2동,11200540,64
114,관악구,신림동,11210690,64
115,노원구,월계2동,11110520,64
116,동대문구,제기동,11060820,64
117,중구,중림동,11020680,64
118,마포구,도화동,11140750,64
119,동작구,신대방1동,11200690,64
120,양천구,신월5동,11150610,64
121,노원구,상계8동,11110720,64
122,강남구,일원1동,11230730,64
123,영등포구,대림3동,11190720,64
124,금천구,시흥1동,11180570,64
125,도봉구,쌍문4동,11100540,64
126,서대문구,북가좌1동,11130710,64
127,중랑구,망우3동,11070680,64
128,성북구,종암동,11080840,64
129,동대문구,청량리동,11060800,64
130,영등포구,당산1동,11190550,64
131,영등포구,신길6동,11190680,64
132,동작구,사당1동,11200630,63
133,관악구,조원동,11210720,63
134,송파구,석촌동,11240630,63
135,은평구,응암2동,11120600,63
136,영등포구,대림2동,11190710,63
137,종로구,숭인1동,11010700,63
138,양천구,신정7동,11150700,63
139,광진구,중곡1동,11050550,63
140,성북구,보문동,11080610,63
141,영등포구,신길1동,11190630,63
142,성북구,석관동,11080850,63
143,강서구,등촌1동,11160520,63
144,광진구,군자동,11050540,63
145,은평구,응암1동,11120590,63
146,송파구,송파1동,11240610,63
147,관악구,미성동,11210830,63
148,양천구,목2동,11150520,63
149,성북구,삼선동,11080820,63
150,동작구,대방동,11200680,63
151,강동구,성내1동,11250650,63
152,종로구,창신1동,11010670,63
153,양천구,신월3동,11150590,63
154,동작구,노량진2동,11200520,62
155,구로구,고척1동,11170610,62
156,동작구,상도1동,11200530,62
157,동대문구,전농2동,11060840,62
158,노원구,상계9동,11110730,62
159,성동구,행당1동,11040560,62
160,성북구,길음2동,11080680,62
161,송파구,가락2동,11240670,62
162,중랑구,면목7동,11070570,62
163,성북구,장위2동,11080770,62
164,동대문구,용신동,11060810,62
165,용산구,후암동,11030510,62
166,도봉구,창1동,11100590,62
167,양천구,신월7동,11150630,62
168,마포구,염리동,11140610,62
169,도봉구,창4동,11100620,61
170,노원구,중계4동,11110640,61
171,마포구,아현동,11140780,61
172,은평구,신사2동,11120660,61
173,성동구,응봉동,11040580,61
174,구로구,구로3동,11170540,61
175,금천구,시흥5동,11180610,61
176,종로구,교남동,11010580,61
177,성북구,정릉2동,11080630,61
178,중랑구,면목3·8동,11070720,61
179,강서구,방화3동,11160761,61
180,관악구,난향동,11210710,61
181,용산구,청파동,11030710,61
182,마포구,연남동,11140710,61
183,은평구,녹번동,11120510,61
184,성동구,송정동,11040690,61
185,관악구,서림동,11210660,61
186,마포구,신수동,11140630,61
187,구로구,구로2동,11170710,61
188,관악구,청룡동,11210800,61
189,노원구,월계1동,11110510,61
190,서대문구,홍제2동,11130650,61
191,광진구,자양4동,11050670,61
192,마포구,용강동,11140590,61
193,영등포구,양평1동,11190610,61
194,마포구,망원1동,11140690,61
195,용산구,보광동,11030700,60
196,중구,신당동,11020690,60
197,서대문구,천연동,11130520,60
198,송파구,잠실본동,11240710,60
199,관악구,인헌동,11210620,60
200,송파구,송파2동,11240620,60
201,마포구,성산1동,11140720,60
202,양천구,신정3동,11150660,60
203,동작구,사당3동,11200650,60
204,송파구,가락본동,11240650,60
205,광진구,구의3동,11050620,60
206,영등포구,신길7동,11190690,60
207,구로구,오류2동,11170730,60
208,용산구,원효로1동,11030720,60
209,동작구,노량진1동,11200720,60
210,서대문구,홍제3동,11130640,60
211,서초구,방배본동,11220610,60
212,양천구,신정1동,11150640,60
213,중랑구,면목5동,11070550,60
214,성동구,성수2가1동,11040670,60
215,강서구,등촌2동,11160530,59
216,강동구,둔촌1동,11250700,59
217,서초구,방배4동,11220650,59
218,종로구,무악동,11010570,59
219,서대문구,홍제1동,11130620,59
220,서대문구,홍은1동,11130660,59
221,구로구,신도림동,11170510,59
222,동작구,흑석동,11200710,59
223,중랑구,망우본동,11070730,59
224,송파구,방이1동,11240570,59
225,영등포구,당산2동,11190560,59
226,광진구,자양3동,11050660,59
227,강서구,염창동,11160510,59
228,양천구,신월6동,11150620,59
229,도봉구,방학3동,11100570,58
230,영등포구,문래동,11190760,58
231,성동구,성수1가2동,11040660,58
232,용산구,원효로2동,11030570,58
233,광진구,자양2동,11050650,58
234,강남구,대치4동,11230630,58
235,광진구,화양동,11050530,58
236,강동구,둔촌2동,11250710,58
237,서초구,반포1동,11220570,58
238,강남구,역삼2동,11230650,58
239,광진구,중곡4동,11050580,58
240,서대문구,충현동,11130730,58
241,송파구,풍납1동,11240510,58
242,강서구,발산1동,11160670,58
243,관악구,삼성동,11210820,58
244,노원구,상계10동,11110740,58
245,중구,광희동,11020590,58
246,송파구,잠실4동,11240750,58
247,구로구,구로1동,11170520,58
248,중구,회현동,11020540,58
249,성동구,사근동,11040550,58
250,강남구,도곡2동,11230670,58
251,마포구,대흥동,11140600,57
252,강동구,강일동,11250750,57
253,양천구,목1동,11150510,57
254,마포구,서강동,11140760,57
255,종로구,종로5·6가동,11010630,57
256,강남구,논현1동,11230520,57
257,은평구,불광1동,11120520,57
258,송파구,위례동,11240820,57
259,성동구,옥수동,11040730,57
260,노원구,상계1동,11110650,57
261,강서구,가양2동,11160650,57
262,강남구,삼성2동,11230590,57
263,성동구,성수2가3동,11040680,57
264,성북구,안암동,11080600,57
265,마포구,서교동,11140660,57
266,종로구,혜화동,11010730,57
267,송파구,문정1동,11240680,57
268,송파구,잠실3동,11240800,56
269,성북구,정릉4동,11080650,56
270,은평구,수색동,11120680,56
271,강남구,도곡1동,11230660,56
272,송파구,가락1동,11240660,56
273,용산구,이태원2동,11030660,56
274,강동구,명일2동,11250540,56
275,용산구,이태원1동,11030650,56
276,서초구,잠원동,11220550,56
277,마포구,합정동,11140680,56
278,동대문구,회기동,11060710,56
279,용산구,이촌2동,11030640,56
280,금천구,가산동,11180510,56
281,송파구,풍납2동,11240520,56
282,광진구,광장동,11050630,56
283,동작구,사당2동,11200730,56
284,성동구,성수1가1동,11040650,56
285,강남구,논현2동,11230530,56
286,용산구,한남동,11030740,56
287,중구,장충동,11020580,55
288,강동구,암사3동,11250590,55
289,양천구,목5동,11150710,55
290,노원구,공릉2동,11110560,55
291,강남구,대치2동,11230790,55
292,용산구,한강로동,11030730,55
293,영등포구,양평2동,11190620,55
294,강동구,암사2동,11250580,55
295,송파구,잠실7동,11240780,55
296,송파구,문정2동,11240690,55
297,성동구,용답동,11040700,55
298,종로구,가회동,11010600,55
299,성북구,정릉3동,11080640,55
300,강남구,대치1동,11230600,55
301,서초구,반포2동,11220580,55
302,강남구,개포4동,11230710,55
303,용산구,용산2가동,11030520,55
304,강남구,신사동,11210680,55
305,강남구,삼성1동,11230580,55
306,강동구,고덕2동,11250560,55
307,강남구,청담동,11230780,55
308,관악구,낙성대동,11210580,55
309,송파구,잠실2동,11240790,54
310,은평구,진관동,11120710,54
311,중구,필동,11020570,54
312,서초구,서초2동,11220520,54
313,관악구,남현동,11210630,54
314,강남구,일원본동,11230720,54
315,강남구,개포2동,11230800,54
316,송파구,잠실6동,11240770,54
317,성북구,성북동,11080810,54
318,강북구,우이동,11090740,54
319,강남구,개포1동,11230680,54
320,서초구,서초3동,11220530,54
321,강남구,압구정동,11230770,54
322,서초구,반포3동,11220590,54
323,서대문구,신촌동,11130750,54
324,서초구,반포4동,11220600,54
325,관악구,대학동,11210730,54
326,서초구,반포본동,11220560,54
327,강서구,공항동,11160690,54
328,용산구,이촌1동,11030630,54
329,영등포구,여의동,11190540,53
330,마포구,상암동,11140740,53
331,종로구,종로1·2·3·4가동,11010610,53
332,서초구,양재2동,11220670,53
333,송파구,오륜동,11240590,53
334,도봉구,도봉1동,11100640,53
335,종로구,삼청동,11010540,53
336,종로구,평창동,11010560,53
337,용산구,서빙고동,11030690,53
338,노원구,월계3동,11110530,53
339,종로구,부암동,11010550,52
340,중구,소공동,11020520,51
341,노원구,하계1동,11110580,50
342,관악구,은천동,11210780,50
343,서초구,양재1동,11220660,49
344,노원구,상계3·4동,11110760,48
345,금천구,독산1동,11180520,46
346,노원구,공릉1동,11110790,45
347,강서구,방화2동,11160710,44
348,양천구,신월1동,11150570,42
349,중랑구,신내1동,11070690,41
350,서대문구,홍은2동,11130680,41
351,서초구,내곡동,11220680,40
352,구로구,항동,11170740,39
353,도봉구,방학2동,11100560,39
354,강북구,번2동,11090610,39
355,동작구,상도4동,11200560,38
356,구로구,수궁동,11170690,37
357,송파구,마천1동,11240550,37
358,양천구,신월4동,11150600,37
359,강서구,방화1동,11160700,36
360,은평구,불광2동,11120720,35
361,영등포구,도림동,11190750,35
362,강동구,천호2동,11250730,35
363,은평구,갈현2동,11120560,34
364,영등포구,신길3동,11190650,34
365,구로구,개봉1동,11170720,34
366,송파구,거여2동,11240540,34
367,노원구,상계5동,11110690,34
368,중구,청구동,11020720,33
369,은평구,구산동,11120570,33
370,서대문구,연희동,11130760,33
371,은평구,갈현1동,11120550,33
372,금천구,시흥2동,11180580,33
373,도봉구,쌍문1동,11100510,33
374,강서구,우장산동,11160740,33
375,동대문구,휘경2동,11060730,32
376,구로구,구로5동,11170560,32
377,영등포구,영등포동,11190740,31
