행정동코드,자치구,행정동,DISASTER_SCORE
11010530,종로구,사직동,31
11010540,종로구,삼청동,31
11010550,종로구,부암동,30
11010560,종로구,평창동,43
11010570,종로구,무악동,2
11010580,종로구,교남동,28
11010600,종로구,가회동,27
11010610,종로구,종로1·2·3·4가동,69
11010630,종로구,종로5·6가동,41
11010640,종로구,이화동,38
11010670,종로구,창신1동,41
11010680,종로구,창신2동,35
11010690,종로구,창신3동,35
11010700,종로구,숭인1동,45
11010710,종로구,숭인2동,41
11010720,종로구,청운효자동,27
11010730,종로구,혜화동,42
11020520,중구,소공동,14
11020540,중구,회현동,10
11020550,중구,명동,25
11020570,중구,필동,11
11020580,중구,장충동,21
11020590,중구,광희동,28
11020600,중구,을지로동,38
11020690,중구,신당동,47
11020700,중구,다산동,24
11020710,중구,약수동,25
11020720,중구,청구동,21
11020650,중구,신당5동,33
11020730,중구,동화동,17
11020670,중구,황학동,34
11020680,중구,중림동,23
11030510,용산구,후암동,26
11030520,용산구,용산2가동,35
11030530,용산구,남영동,30
11030570,용산구,원효로2동,23
11030580,용산구,효창동,24
11030590,용산구,용문동,26
11030630,용산구,이촌1동,45
11030640,용산구,이촌2동,32
11030650,용산구,이태원1동,44
11030660,용산구,이태원2동,25
11030690,용산구,서빙고동,43
11030700,용산구,보광동,51
11030710,용산구,청파동,42
11030720,용산구,원효로1동,42
11030730,용산구,한강로동,38
11030740,용산구,한남동,27
11040520,성동구,왕십리2동,35
11040540,성동구,마장동,42
11040550,성동구,사근동,43
11040560,성동구,행당1동,34
11040570,성동구,행당2동,34
11040580,성동구,응봉동,25
11040590,성동구,금호1가동,16
11040620,성동구,금호4가동,25
11040650,성동구,성수1가1동,48
11040660,성동구,성수1가2동,46
11040670,성동구,성수2가1동,62
11040680,성동구,성수2가3동,45
11040690,성동구,송정동,37
11040700,성동구,용답동,46
11040710,성동구,왕십리도선동,41
11040720,성동구,금호2·3가동,20
11040730,성동구,옥수동,43
11050530,광진구,화양동,56
11050540,광진구,군자동,43
11050550,광진구,중곡1동,42
11050560,광진구,중곡2동,36
11050570,광진구,중곡3동,37
11050580,광진구,중곡4동,22
11050590,광진구,능동,33
11050600,광진구,구의1동,48
11050610,광진구,구의2동,39
11050620,광진구,구의3동,31
11050630,광진구,광장동,16
11050640,광진구,자양1동,39
11050650,광진구,자양2동,43
11050660,광진구,자양3동,51
11050670,광진구,자양4동,58
11060710,동대문구,회기동,20
11060720,동대문구,휘경1동,32
11060730,동대문구,휘경2동,28
11060800,동대문구,청량리동,28
11060810,동대문구,용신동,49
11060820,동대문구,제기동,37
11060830,동대문구,전농1동,35
11060840,동대문구,전농2동,24
11060860,동대문구,답십리2동,21
11060870,동대문구,장안1동,37
