행정동코드,자치구,행정동,ELDERLY_SCORE
11010530,종로구,사직동,69
11010540,종로구,삼청동,42
11010550,종로구,부암동,46
11010560,종로구,평창동,57
11010570,종로구,무악동,48
11010580,종로구,교남동,51
11010600,종로구,가회동,56
11010610,종로구,종로1·2·3·4가동,83
11010630,종로구,종로5·6가동,70
11010640,종로구,이화동,51
11010670,종로구,창신1동,70
11010680,종로구,창신2동,53
11010690,종로구,창신3동,40
11010700,종로구,숭인1동,42
11010710,종로구,숭인2동,54
11010720,종로구,청운효자동,62
11010730,종로구,혜화동,57
11020520,중구,소공동,34
11020540,중구,회현동,62
11020550,중구,명동,47
11020570,중구,필동,51
11020580,중구,장충동,46
11020590,중구,광희동,62
11020600,중구,을지로동,54
11020690,중구,신당동,61
11020700,중구,다산동,51
11020710,중구,약수동,59
11020720,중구,청구동,57
11020650,중구,신당5동,46
11020730,중구,동화동,44
11020670,중구,황학동,48
11020680,중구,중림동,55
11030510,용산구,후암동,74
11030520,용산구,용산2가동,74
11030530,용산구,남영동,79
11030570,용산구,원효로2동,66
11030580,용산구,효창동,40
11030590,용산구,용문동,54
11030630,용산구,이촌1동,58
11030640,용산구,이촌2동,61
11030650,용산구,이태원1동,60
11030660,용산구,이태원2동,63
11030690,용산구,서빙고동,80
11030700,용산구,보광동,62
11030710,용산구,청파동,63
11030720,용산구,원효로1동,53
11030730,용산구,한강로동,74
11030740,용산구,한남동,55
11040520,성동구,왕십리2동,48
11040540,성동구,마장동,59
11040550,성동구,사근동,57
11040560,성동구,행당1동,45
11040570,성동구,행당2동,100
11040580,성동구,응봉동,53
11040590,성동구,금호1가동,61
11040620,성동구,금호4가동,56
11040650,성동구,성수1가1동,64
11040660,성동구,성수1가2동,54
11040670,성동구,성수2가1동,67
11040680,성동구,성수2가3동,58
11040690,성동구,송정동,54
11040700,성동구,용답동,65
11040710,성동구,왕십리도선동,50
11040720,성동구,금호2·3가동,57
11040730,성동구,옥수동,63
11050530,광진구,화양동,63
11050540,광진구,군자동,60
11050550,광진구,중곡1동,56
11050560,광진구,중곡2동,60
11050570,광진구,중곡3동,63
11050580,광진구,중곡4동,76
11050590,광진구,능동,49
11050600,광진구,구의1동,56
11050610,광진구,구의2동,62
11050620,광진구,구의3동,52
11050630,광진구,광장동,54
11050640,광진구,자양1동,66
11050650,광진구,자양2동,65
11050660,광진구,자양3동,67
11050670,광진구,자양4동,84
11060710,동대문구,회기동,50
11060720,동대문구,휘경1동,48
11060730,동대문구,휘경2동,53
11060800,동대문구,청량리동,73
11060810,동대문구,용신동,68
11060820,동대문구,제기동,68
11060830,동대문구,전농1동,68
11060840,동대문구,전농2동,58
11060860,동대문구,답십리2동,61
11060870,동대문구,장안1동,65
11060880,동대문구,장안2동,58
11060890,동대문구,이문1동,65
11060900,동대문구,이문2동,63
11060910,동대문구,답십리1동,58
11070520,중랑구,면목2동,64
11070540,중랑구,면목4동,65
11070550,중랑구,면목5동,50
11070570,중랑구,면목7동,73
11070590,중랑구,상봉1동,55
11070600,중랑구,상봉2동,51
11070610,중랑구,중화1동,63
11070620,중랑구,중화2동,68
11070640,중랑구,묵1동,59
11070650,중랑구,묵2동,58
11070680,중랑구,망우3동,60
11070690,중랑구,신내1동,63
11070700,중랑구,신내2동,61
11070710,중랑구,면목본동,66
11070720,중랑구,면목3·8동,73
11070730,중랑구,망우본동,70
11080580,성북구,돈암1동,57
11080590,성북구,돈암2동,54
11080600,성북구,안암동,54
11080610,성북구,보문동,50
11080620,성북구,정릉1동,55
11080630,성북구,정릉2동,63
11080640,성북구,정릉3동,66
11080650,성북구,정릉4동,68
11080660,성북구,길음1동,62
11080680,성북구,길음2동,57
11080710,성북구,월곡1동,64
11080720,성북구,월곡2동,61
11080760,성북구,장위1동,67
11080770,성북구,장위2동,65
11080780,성북구,장위3동,62
11080810,성북구,성북동,58
11080820,성북구,삼선동,59
11080830,성북구,동선동,52
11080840,성북구,종암동,71
11080850,성북구,석관동,77
11090600,강북구,번1동,55
11090610,강북구,번2동,67
11090620,강북구,번3동,75
11090630,강북구,수유1동,64
11090640,강북구,수유2동,53
11090650,강북구,수유3동,60
11090690,강북구,삼양동,68
11090700,강북구,미아동,58
11090710,강북구,송중동,65
11090720,강북구,송천동,69
11090730,강북구,삼각산동,70
11090740,강북구,우이동,73
11090750,강북구,인수동,68
11100510,도봉구,쌍문1동,64
11100520,도봉구,쌍문2동,50
11100530,도봉구,쌍문3동,51
11100540,도봉구,쌍문4동,48
11100550,도봉구,방학1동,58
11100560,도봉구,방학2동,67
11100570,도봉구,방학3동,54
11100590,도봉구,창1동,59
11100600,도봉구,창2동,64
11100610,도봉구,창3동,63
11100620,도봉구,창4동,55
11100630,도봉구,창5동,49
11100640,도봉구,도봉1동,77
11100650,도봉구,도봉2동,60
11110510,노원구,월계1동,69
11110520,노원구,월계2동,82
11110530,노원구,월계3동,72
11110560,노원구,공릉2동,73
11110580,노원구,하계1동,72
11110590,노원구,하계2동,51
11110600,노원구,중계본동,62
11110610,노원구,중계1동,49
11110640,노원구,중계4동,65
11110650,노원구,상계1동,73
11110660,노원구,상계2동,53
11110690,노원구,상계5동,59
11110720,노원구,상계8동,45
