자치구명,행정동명,행정동코드,지수
강남구,개포1동,11230680,28
강남구,개포2동,11230800,57
강남구,개포3동,11230511,38
강남구,개포4동,11230710,48
강남구,논현1동,11230520,53
강남구,논현2동,11230530,61
강남구,대치1동,11230600,55
강남구,대치2동,11230790,64
강남구,대치4동,11230630,48
강남구,도곡1동,11230660,62
강남구,도곡2동,11230670,53
강남구,삼성1동,11230580,55
강남구,삼성2동,11230590,52
강남구,세곡동,11230760,51
강남구,수서동,11230750,47
강남구,신사동,11230510,43
강남구,압구정동,11230770,60
강남구,역삼1동,11230640,62
강남구,역삼2동,11230650,57
강남구,일원1동,11230730,42
강남구,일원본동,11230720,52
강남구,청담동,11230780,58
강동구,강일동,11250750,55
강동구,고덕1동,11250550,43
강동구,고덕2동,11250560,49
강동구,길동,11250740,69
강동구,둔촌1동,11250700,51
강동구,둔촌2동,11250710,55
강동구,명일1동,11250530,62
강동구,명일2동,11250540,49
강동구,상일동,11250760,57
강동구,성내1동,11250650,58
강동구,성내2동,11250660,47
강동구,성내3동,11250670,44
강동구,암사1동,11250720,46
강동구,암사2동,11250580,33
강동구,암사3동,11250590,36
강동구,천호1동,11250610,56
강동구,천호2동,11250730,55
강동구,천호3동,11250630,52
강북구,미아동,11090700,57
강북구,번1동,11090600,53
강북구,번2동,11090610,47
강북구,번3동,11090620,44
강북구,삼각산동,11090730,56
강북구,삼양동,11090690,65
강북구,송중동,11090710,60
강북구,송천동,11090720,62
강북구,수유1동,11090630,52
강북구,수유2동,11090640,38
강북구,수유3동,11090650,47
강북구,우이동,11090740,24
강북구,인수동,11090750,36
강서구,가양1동,11160751,48
강서구,가양2동,11160650,46
강서구,가양3동,11160660,53
강서구,공항동,11160690,42
강서구,등촌1동,11160520,56
강서구,등촌2동,11160530,44
강서구,등촌3동,11160540,68
강서구,발산1동,11160670,60
강서구,방화1동,11160700,58
강서구,방화2동,11160710,35
강서구,방화3동,11160761,49
강서구,염창동,11160510,54
강서구,우장산동,11160740,58
강서구,화곡1동,11160730,54
강서구,화곡2동,11160570,41
강서구,화곡3동,11160580,38
강서구,화곡4동,11160590,53
강서구,화곡6동,11160610,43
강서구,화곡8동,11160630,42
강서구,화곡본동,11160550,51
관악구,낙성대동,11210580,37
관악구,난곡동,11210810,48
관악구,난향동,11210710,33
관악구,남현동,11210630,23
관악구,대학동,11210730,45
관악구,미성동,11210830,55
관악구,보라매동,11210520,53
관악구,삼성동,11210820,36
관악구,서림동,11210660,42
관악구,서원동,11210640,49
관악구,성현동,11210790,52
관악구,신림동,11210690,46
관악구,신사동,11210680,46
관악구,신원동,11210650,35
관악구,은천동,11210780,62
관악구,인헌동,11210620,44
관악구,조원동,11210720,49
관악구,중앙동,11210610,47
관악구,청룡동,11210800,56
관악구,청림동,11210540,36
관악구,행운동,11210570,51
광진구,광장동,11050630,56
광진구,구의1동,11050600,49
광진구,구의2동,11050610,46
광진구,구의3동,11050620,50
광진구,군자동,11050540,54
광진구,능동,11050590,50
광진구,자양1동,11050640,43
광진구,자양2동,11050650,44
광진구,자양3동,11050660,43
광진구,자양4동,11050670,46
광진구,중곡1동,11050550,35
광진구,중곡2동,11050560,44
광진구,중곡3동,11050570,57
광진구,중곡4동,11050580,44
광진구,화양동,11050530,52
구로구,가리봉동,11170700,37
구로구,개봉1동,11170720,54
구로구,개봉2동,11170640,37
구로구,개봉3동,11170650,51
구로구,고척1동,11170610,57
구로구,고척2동,11170620,64
구로구,구로1동,11170520,41
구로구,구로2동,11170710,55
구로구,구로3동,11170540,65
구로구,구로4동,11170550,52
구로구,구로5동,11170560,63
구로구,수궁동,11170690,49
구로구,신도림동,11170510,62
구로구,오류1동,11170670,48
구로구,오류2동,11170730,48
구로구,항동,11170740,44
금천구,가산동,11180510,48
금천구,독산1동,11180520,56
금천구,독산2동,11180530,43
금천구,독산3동,11180540,54
금천구,독산4동,11180550,50
금천구,시흥1동,11180570,62
금천구,시흥2동,11180580,41
금천구,시흥3동,11180590,43
금천구,시흥4동,11180600,40
금천구,시흥5동,11180610,43
노원구,공릉1동,11110790,63
노원구,공릉2동,11110560,43
노원구,상계10동,11110740,46
노원구,상계1동,11110650,43
노원구,상계2동,11110660,58
노원구,상계3·4동,11110760,26
노원구,상계5동,11110690,41
노원구,상계6·7동,11110770,57
노원구,상계8동,11110720,50
노원구,상계9동,11110730,49
노원구,월계1동,11110510,55
노원구,월계2동,11110520,52
노원구,월계3동,11110530,47
노원구,중계1동,11110610,53
노원구,중계2·3동,11110780,64
노원구,중계4동,11110640,45
노원구,중계본동,11110600,40
노원구,하계1동,11110580,54
노원구,하계2동,11110590,51
도봉구,도봉1동,11100640,35
도봉구,도봉2동,11100650,60
도봉구,방학1동,11100550,58
도봉구,방학2동,11100560,39
도봉구,방학3동,11100570,45
도봉구,쌍문1동,11100510,57
도봉구,쌍문2동,11100520,45
도봉구,쌍문3동,11100530,49
도봉구,쌍문4동,11100540,48
도봉구,창1동,11100590,66
도봉구,창2동,11100600,41
도봉구,창3동,11100610,42
도봉구,창4동,11100620,59
도봉구,창5동,11100630,60
동대문구,답십리1동,11060910,60
동대문구,답십리2동,11060860,45
동대문구,용신동,11060810,69
동대문구,이문1동,11060890,55
동대문구,이문2동,11060900,36
동대문구,장안1동,11060870,51
동대문구,장안2동,11060880,56
동대문구,전농1동,11060830,52
동대문구,전농2동,11060840,55
동대문구,제기동,11060820,60
동대문구,청량리동,11060800,52
동대문구,회기동,11060710,36
동대문구,휘경1동,11060720,41
동대문구,휘경2동,11060730,51
동작구,노량진1동,11200720,61
동작구,노량진2동,11200520,37
동작구,대방동,11200680,72
동작구,사당1동,11200630,50
동작구,사당2동,11200730,51
동작구,사당3동,11200650,52
동작구,사당4동,11200660,37
동작구,사당5동,11200670,53
동작구,상도1동,11200530,58
동작구,상도2동,11200540,53
동작구,상도3동,11200550,50
동작구,상도4동,11200560,50
동작구,신대방1동,11200690,49
동작구,신대방2동,11200700,61
동작구,흑석동,11200710,55
마포구,공덕동,11140770,64
마포구,대흥동,11140600,63
마포구,도화동,11140750,59
마포구,망원1동,11140690,32
마포구,망원2동,11140700,45
마포구,상암동,11140740,51
마포구,서강동,11140760,54
마포구,서교동,11140660,62
마포구,성산1동,11140720,50
마포구,성산2동,11140730,59
마포구,신수동,11140630,50
마포구,아현동,11140780,59
마포구,연남동,11140710,40
마포구,염리동,11140610,51
마포구,용강동,11140590,49
마포구,합정동,11140680,50
서대문구,남가좌1동,11130690,46
서대문구,남가좌2동,11130700,52
서대문구,북가좌1동,11130710,45
서대문구,북가좌2동,11130720,42
서대문구,북아현동,11130740,54
서대문구,신촌동,11130750,52
서대문구,연희동,11130760,58
서대문구,천연동,11130520,57
서대문구,충현동,11130730,61
서대문구,홍은1동,11130660,41
서대문구,홍은2동,11130680,47
서대문구,홍제1동,11130620,45
서대문구,홍제2동,11130650,24
서대문구,홍제3동,11130640,49
서초구,내곡동,11220680,34
서초구,반포1동,11220570,62
서초구,반포2동,11220580,43
서초구,반포3동,11220590,40
서초구,반포4동,11220600,50
서초구,반포본동,11220560,34
서초구,방배1동,11220620,53
서초구,방배2동,11220630,47
서초구,방배3동,11220640,45
서초구,방배4동,11220650,52
서초구,방배본동,11220610,46
서초구,서초1동,11220510,52
서초구,서초2동,11220520,71
서초구,서초3동,11220530,57
서초구,서초4동,11220540,61
서초구,양재1동,11220660,49
서초구,양재2동,11220670,36
서초구,잠원동,11220550,47
성동구,금호1가동,11040590,69
성동구,금호2·3가동,11040720,55
성동구,금호4가동,11040620,55
성동구,마장동,11040540,50
성동구,사근동,11040550,51
성동구,성수1가1동,11040650,46
성동구,성수1가2동,11040660,44
성동구,성수2가1동,11040670,46
성동구,성수2가3동,11040680,51
성동구,송정동,11040690,33
성동구,옥수동,11040730,51
성동구,왕십리2동,11040520,48
성동구,왕십리도선동,11040710,55
성동구,용답동,11040700,37
성동구,응봉동,11040580,49
성동구,행당1동,11040560,67
성동구,행당2동,11040570,58
성북구,길음1동,11080660,63
성북구,길음2동,11080680,45
성북구,돈암1동,11080580,54
성북구,돈암2동,11080590,51
성북구,동선동,11080830,56
성북구,보문동,11080610,53
성북구,삼선동,11080820,62
성북구,석관동,11080850,53
성북구,성북동,11080810,44
성북구,안암동,11080600,42
성북구,월곡1동,11080710,49
성북구,월곡2동,11080720,51
성북구,장위1동,11080760,47
성북구,장위2동,11080770,52
성북구,장위3동,11080780,51
성북구,정릉1동,11080620,48
성북구,정릉2동,11080630,50
성북구,정릉3동,11080640,26
성북구,정릉4동,11080650,36
성북구,종암동,11080840,59
송파구,가락1동,11240660,54
송파구,가락2동,11240670,59
송파구,가락본동,11240650,57
송파구,거여1동,11240530,44
송파구,거여2동,11240540,53
송파구,마천1동,11240550,50
송파구,마천2동,11240560,44
송파구,문정1동,11240680,42
송파구,문정2동,11240690,44
송파구,방이1동,11240570,49
송파구,방이2동,11240580,46
송파구,삼전동,11240640,46
송파구,석촌동,11240630,54
송파구,송파1동,11240610,40
송파구,송파2동,11240620,51
송파구,오금동,11240600,62
송파구,오륜동,11240590,47
송파구,위례동,11240820,45
송파구,잠실2동,11240790,45
송파구,잠실3동,11240800,53
송파구,잠실4동,11240750,48
송파구,잠실6동,11240770,44
송파구,잠실7동,11240780,43
송파구,잠실본동,11240710,50
송파구,장지동,11240810,60
송파구,풍납1동,11240510,35
송파구,풍납2동,11240520,38
양천구,목1동,11150510,58
양천구,목2동,11150520,50
양천구,목3동,11150530,42
양천구,목4동,11150540,54
양천구,목5동,11150710,58
양천구,신월1동,11150570,31
양천구,신월2동,11150580,44
양천구,신월3동,11150590,48
양천구,신월4동,11150600,44
양천구,신월5동,11150610,42
양천구,신월6동,11150620,44
양천구,신월7동,11150630,39
양천구,신정1동,11150640,50
양천구,신정2동,11150650,46
양천구,신정3동,11150660,62
양천구,신정4동,11150720,58
양천구,신정6동,11150690,37
양천구,신정7동,11150700,58
영등포구,당산1동,11190550,46
영등포구,당산2동,11190560,63
영등포구,대림1동,11190700,48
영등포구,대림2동,11190710,50
영등포구,대림3동,11190720,55
영등포구,도림동,11190750,32
영등포구,문래동,11190760,56
영등포구,신길1동,11190630,49
영등포구,신길3동,11190650,46
영등포구,신길4동,11190660,41
영등포구,신길5동,11190670,46
영등포구,신길6동,11190680,57
영등포구,신길7동,11190690,55
영등포구,양평1동,11190610,41
영등포구,양평2동,11190620,49
영등포구,여의동,11190540,57
영등포구,영등포동,11190740,58
영등포구,영등포본동,11190730,55
용산구,남영동,11030530,43
용산구,보광동,11030700,36
용산구,서빙고동,11030690,29
용산구,용문동,11030590,42
용산구,용산2가동,11030520,41
용산구,원효로1동,11030720,48
용산구,원효로2동,11030570,43
용산구,이촌1동,11030630,35
용산구,이촌2동,11030640,16
용산구,이태원1동,11030650,46
용산구,이태원2동,11030660,38
용산구,청파동,11030710,56
용산구,한강로동,11030730,53
용산구,한남동,11030740,41
용산구,효창동,11030580,47
용산구,후암동,11030510,49
은평구,갈현1동,11120550,43
은평구,갈현2동,11120560,55
은평구,구산동,11120570,55
은평구,녹번동,11120510,48
은평구,대조동,11120580,59
은평구,불광1동,11120520,46
은평구,불광2동,11120720,55
은평구,수색동,11120680,39
은평구,신사1동,11120650,45
은평구,신사2동,11120660,59
은평구,역촌동,11120740,53
은평구,응암1동,11120590,49
은평구,응암2동,11120600,39
은평구,응암3동,11120730,58
은평구,증산동,11120670,50
은평구,진관동,11120710,54
종로구,가회동,11010600,45
종로구,교남동,11010580,53
종로구,무악동,11010570,26
종로구,부암동,11010550,31
종로구,사직동,11010530,65
종로구,삼청동,11010540,39
종로구,숭인1동,11010700,48
종로구,숭인2동,11010710,55
종로구,이화동,11010640,63
종로구,종로1·2·3·4가동,11010610,67
종로구,종로5·6가동,11010630,54
종로구,창신1동,11010670,52
종로구,창신2동,11010680,19
종로구,창신3동,11010690,42
종로구,청운효자동,11010720,49
종로구,평창동,11010560,25
종로구,혜화동,11010730,59
중구,광희동,11020590,53
중구,다산동,11020700,65
중구,동화동,11020730,46
