자치구명,행정동명,행정동코드,인프라지수
강남구,개포1동,11230680,18
강남구,개포2동,11230800,67
강남구,개포3동,11230511,47
강남구,개포4동,11230710,59
강남구,논현1동,11230520,76
강남구,논현2동,11230530,88
강남구,대치1동,11230600,77
강남구,대치2동,11230790,83
강남구,대치4동,11230630,63
강남구,도곡1동,11230660,81
강남구,도곡2동,11230670,67
강남구,삼성1동,11230580,77
강남구,삼성2동,11230590,68
강남구,세곡동,11230760,59
강남구,수서동,11230750,59
강남구,신사동,11230510,55
강남구,압구정동,11230770,86
강남구,역삼1동,11230640,85
강남구,역삼2동,11230650,77
강남구,일원1동,11230730,50
강남구,일원본동,11230720,57
강남구,청담동,11230780,78
강동구,강일동,11250750,72
강동구,고덕1동,11250550,48
강동구,고덕2동,11250560,56
강동구,길동,11250740,87
강동구,둔촌1동,11250700,64
강동구,둔촌2동,11250710,66
강동구,명일1동,11250530,81
강동구,명일2동,11250540,62
강동구,상일동,11250760,69
강동구,성내1동,11250650,79
강동구,성내2동,11250660,63
강동구,성내3동,11250670,59
강동구,암사1동,11250720,54
강동구,암사2동,11250580,27
강동구,암사3동,11250590,38
강동구,천호1동,11250610,72
강동구,천호2동,11250730,66
강동구,천호3동,11250630,68
강북구,미아동,11090700,74
강북구,번1동,11090600,75
강북구,번2동,11090610,51
강북구,번3동,11090620,51
강북구,삼각산동,11090730,69
강북구,삼양동,11090690,87
강북구,송중동,11090710,81
강북구,송천동,11090720,83
강북구,수유1동,11090630,61
강북구,수유2동,11090640,47
강북구,수유3동,11090650,62
강북구,우이동,11090740,13
강북구,인수동,11090750,37
강서구,가양1동,11160751,56
강서구,가양2동,11160650,52
강서구,가양3동,11160660,64
강서구,공항동,11160690,41
강서구,등촌1동,11160520,71
강서구,등촌2동,11160530,52
강서구,등촌3동,11160540,85
강서구,발산1동,11160670,84
강서구,방화1동,11160700,79
강서구,방화2동,11160710,33
강서구,방화3동,11160761,52
강서구,염창동,11160510,67
강서구,우장산동,11160740,73
강서구,화곡1동,11160730,71
강서구,화곡2동,11160570,49
강서구,화곡3동,11160580,50
강서구,화곡4동,11160590,67
강서구,화곡6동,11160610,57
강서구,화곡8동,11160630,54
강서구,화곡본동,11160550,60
관악구,낙성대동,11210580,41
관악구,난곡동,11210810,55
관악구,난향동,11210710,39
관악구,남현동,11210630,14
관악구,대학동,11210730,42
관악구,미성동,11210830,68
관악구,보라매동,11210520,68
관악구,삼성동,11210820,34
관악구,서림동,11210660,52
