구,행정동명,행정동코드,PVI
노원구,중계2·3동,11110780,100
강서구,등촌3동,11160540,89
성북구,장위1동,11080760,87
강서구,가양3동,11160660,81
강동구,암사1동,11250720,80
양천구,신월1동,11150570,75
송파구,마천1동,11240550,75
중랑구,면목본동,11070710,74
도봉구,방학2동,11100560,69
강서구,화곡2동,11160570,68
강북구,수유2동,11090640,67
강서구,가양2동,11160650,67
도봉구,창2동,11100600,67
강동구,천호1동,11250610,67
금천구,독산2동,11180530,65
도봉구,쌍문2동,11100520,65
중랑구,중화2동,11070620,64
강서구,화곡본동,11160550,62
광진구,중곡3동,11050570,62
은평구,응암3동,11120730,61
광진구,자양1동,11050640,61
중랑구,면목2동,11070520,61
관악구,난곡동,11210810,60
강동구,천호3동,11250630,60
강북구,수유3동,11090650,60
종로구,창신2동,11010680,60
강서구,화곡8동,11160630,59
은평구,역촌동,11120740,58
도봉구,쌍문3동,11100530,56
광진구,중곡2동,11050560,55
도봉구,창3동,11100610,55
양천구,목3동,11150530,55
강북구,번1동,11090600,55
강북구,번3동,11090620,55
중랑구,망우3동,11070680,54
금천구,시흥4동,11180600,54
양천구,목4동,11150540,54
중랑구,상봉1동,11070590,53
강북구,삼양동,11090690,53
서대문구,북가좌2동,11130720,53
강북구,송천동,11090720,53
관악구,은천동,11210780,52
금천구,독산4동,11180550,52
중랑구,중화1동,11070610,52
은평구,갈현2동,11120560,51
강북구,번2동,11090610,51
도봉구,방학1동,11100550,51
노원구,상계5동,11110690,51
관악구,성현동,11210790,51
노원구,상계2동,11110660,51
강북구,삼각산동,11090730,49
은평구,대조동,11120580,48
관악구,신사동,11210680,48
강서구,화곡1동,11160730,48
중랑구,면목4동,11070540,48
양천구,신정4동,11150720,48
영등포구,신길4동,11190660,48
노원구,하계2동,11110590,48
성북구,장위2동,11080770,48
동대문구,장안2동,11060880,47
노원구,공릉1동,11110790,47
관악구,신원동,11210650,47
송파구,마천2동,11240560,47
양천구,신월3동,11150590,46
관악구,신림동,11210690,46
중랑구,상봉2동,11070600,46
광진구,중곡1동,11050550,46
강북구,미아동,11090700,46
광진구,구의1동,11050600,45
동작구,상도3동,11200550,45
중랑구,묵2동,11070650,45
관악구,청림동,11210540,45
관악구,보라매동,11210520,45
