자치구명,행정동,행정동코드,1인가구비율,사회적_고립도,평일_재택률,휴일_재택률,배달_의존도,이동_취약성_거리,이동_취약성_횟수,휴일_활동성,경제적_취약성,거주_불안정성,게임_이용,금융_이용,쇼핑_이용,배달브랜드_이용,배달식재료_이용,영상_서비스_이용,대중교통_이용,출퇴근_부담,근무_강도,종합_취약도
강남구,개포1동,11680115,23,21,59,20,12,11,32,82,9,82,76,38,0,50,58,1,65,28,13,35.8
강남구,개포2동,11680116,31,29,54,15,19,12,29,77,15,84,64,28,0,15,5,1,45,31,25,30.5
강남구,개포3동,11680122,60,56,71,28,23,36,47,53,22,83,50,40,0,29,51,1,33,30,46,39.9
강남구,개포4동,11680117,20,25,48,22,37,20,31,64,25,62,49,19,0,21,64,1,62,29,34,33.3
강남구,논현1동,11680102,26,6,68,58,82,21,50,53,77,53,17,28,0,19,40,0,31,30,41,36.8
강남구,논현2동,11680103,12,8,67,42,67,21,41,58,47,44,36,23,0,23,26,1,28,37,40,32.7
강남구,대치1동,11680108,0,20,57,27,21,6,36,82,11,56,62,33,0,44,49,1,53,47,20,32.9
강남구,대치2동,11680109,6,28,61,28,22,15,36,75,16,56,68,35,0,10,22,1,44,28,36,30.9
강남구,대치4동,11680110,22,14,77,51,76,23,55,56,57,53,30,17,0,26,54,1,39,35,43,38.4
강남구,도곡1동,11680113,9,14,55,35,32,15,48,71,20,56,63,23,0,22,39,1,62,34,40,33.6
강남구,도곡2동,11680114,11,14,57,34,28,2,35,79,21,56,55,21,0,25,30,1,55,36,35,31.3
강남구,삼성1동,11680106,11,4,55,38,32,3,28,68,31,56,33,26,0,20,10,1,18,40,41,27.1
강남구,삼성2동,11680107,14,12,72,47,44,16,48,55,52,56,39,31,0,8,26,1,32,34,42,33.1
강남구,세곡동,11680118,26,39,70,55,20,4,32,76,31,24,57,35,0,5,35,1,13,25,20,29.9
강남구,수서동,11680121,79,73,62,25,52,37,44,51,37,44,28,39,0,12,44,1,13,15,21,35.6
강남구,신사동,11680101,27,35,65,58,32,39,61,50,27,51,38,33,0,42,37,1,30,39,39,37.1
강남구,압구정동,11680104,15,4,53,24,23,8,28,77,27,49,41,25,0,6,5,1,16,40,40,25.4
강남구,역삼1동,11680111,22,0,67,53,100,12,39,45,100,56,0,0,0,10,22,0,20,52,62,34.7
강남구,역삼2동,11680112,20,26,71,50,62,19,51,54,44,48,44,26,0,29,29,1,46,39,43,36.9
강남구,일원1동,11680120,47,45,71,38,41,36,50,44,42,54,40,49,0,30,35,1,37,32,46,38.8
강남구,일원본동,11680119,22,40,64,37,21,13,35,77,9,51,65,29,0,30,36,1,34,41,46,34.3
강남구,청담동,11680105,14,8,57,33,37,6,28,66,36,56,44,18,0,21,18,1,21,39,56,29.4
강동구,강일동,11740101,21,54,49,27,35,26,30,58,26,61,29,31,0,12,13,1,6,40,58,30.4
강동구,고덕1동,11740105,23,46,66,42,19,33,57,64,13,52,72,46,0,39,39,1,48,23,16,36.8
강동구,고덕2동,11740106,40,64,74,56,29,38,57,59,20,56,62,36,0,49,59,1,29,25,32,41.4
강동구,명일1동,11740103,28,50,77,45,25,36,59,61,7,56,62,37,0,25,33,1,51,33,40,38.2
강동구,명일2동,11740104,11,50,75,41,12,28,53,70,19,56,78,40,0,57,58,1,50,21,42,40.1
강동구,상일동,11740102,28,46,69,35,25,30,46,62,12,82,55,47,1,22,37,1,40,25,35,36.7
강동구,성내1동,11740113,19,46,41,29,47,41,59,40,24,56,31,37,0,22,46,1,47,25,36,34.1
강동구,성내2동,11740114,40,66,66,54,59,61,69,35,28,55,23,41,1,30,51,1,34,19,30,40.2
강동구,성내3동,11740115,29,49,72,46,71,45,62,38,35,56,49,37,1,34,51,1,41,32,64,42.8
강동구,암사1동,11740107,36,66,79,57,31,48,66,42,35,51,25,41,1,23,48,1,39,25,46,40.0
강동구,암사2동,11740108,28,58,70,32,40,36,55,49,25,53,64,34,1,30,47,1,32,16,25,36.6
강동구,암사3동,11740109,11,63,70,29,20,32,58,59,11,56,63,48,1,50,60,2,46,28,34,39.0
