"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","대상지주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","호_이름(HONAME)","면적대비_월세시세(AREA_PRED_RENT)","예측_월세시세(PRED_RENT)"
"1126010300104560000","202007","11215-100200522","11710-76789","서**별**동**구**기**1**-**번**","11440","10300","1","0076","0026","","","501",1.2319,59
"1150010300100990015","202101","11290-100256230","11590-78834","서**별**송** **동**5**3**","11470","10300","1","0466","0012","","","201",1.6009,41
"1138010300101050008","202004","11290-100245949","11305-90089","서**별**강** **동**8**1**지**","11590","10300","1","0094","0016","","","201호",1.2532,59
"1150010300103660096","202011","11680-7902","11620-100200173","서**별**강** **동**7**2**지**","11320","10300","1","0237","0028","태*팰*스","","502",1.198,51
"1138010400100090132","202001","11500-17348","11380-100190494","서**별**서** **동**9**2**지**","11710","10300","1","0281","0014","p*r* *i*l*g*","","3층1호",1.6176,91
"1171010600100420010","202012","11440-100239695","11170-47440","서**별**동** **동**7**4**번**","11230","16200","1","0209","0009","리*팰*스","","204호",1.3065,54
"1174010800104030000","202005","11710-13027","11680-81414","서**별**강** **동**1**2**지**","11200","10100","1","0184","0065","대*맨*","","103호",0.7437,65
"1120011500105730005","202004","11710-23428","11620-125917","서**별**송** **동**3**4**","11305","10800","1","0338","0020","p*r*-*i*l","","302",1.3596,60
"1159010200102110115","202102","11740-100258262","11710-165475","서**별**중** ** **9**7**","11545","10100","1","0486","0002","명*그*빌","","201",1.8679,41
"1154510200108820022","202006","11710-18720","11740-65546","서**별**성** **동**2**7**지**","11290","10200","1","0307","0007","","","301",1.2658,60
"1174010900100250036","202012","11440-32308","11110-35519","서**별**은** **동**6**5**지**","11710","10200","1","0129","0005","","","402",0.6072,68
"1126010100105780013","202012","11710-22108","11680-157730","서**별**서** **동**7**8**","11590","10200","1","0614","0013","","주건축물제1동","202",2.765,45
