"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","대상지주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","호_이름(HONAME)","건축연도(BLDCONYEAR)","본건_사례수(PRED_BON_CNT)","주변건_사례수(PRED_SARE_CNT)","면적대비_전세시세(DEPO_AREA_PRED)","예측_전세시세(DEPO_PRED)"
"1153010900102810007","202105","11305-13083","11410-70002","서**별**은** **동**1**2**지**","11215","10700","1","13","43","","","301","2015",3,41,914.98,21788
"1123010800101030150","202012","11590-21381","11620-117005","서**별**구** ** **3**1**","11545","10300","1","66","7","","","301","2015",0,9,1052.54,42380
"1147010200105540002","202009","11500-100181744","11290-80418","서**별**마** **산**1**1**번**","11140","10700","1","49","8","","","401호","2020",0,5,603.79,17569
"1150010900106060045","202011","11470-100235488","11215-100233544","서**별**양** ** **7**2**","11440","12900","1","90","109","아* *2*3","","203호","1979",1,18,282.23,15769
"1168010500101240011","202001","11500-1747","11290-117521","서**별**동** **동**0**-**번**","11710","10800","1","245","31","아*떼*","","4층401호","2020",1,38,642.49,24657
"1150010600107170023","202004","11650-100237754","11710-100242469","서**별**은** **동**3**1**","11710","10800","1","72","26","","102동","302","2002",0,29,236.75,8480
"1165010100104560025","202008","11320-100209034","11140-100224030","서**별**강** **산**6**-**번**","11560","10800","1","472","32","","나동","401","1991",1,9,506.39,16141
"1174010700104640013","202007","11440-27601","11680-100264179","서**별**강** **동**7**지**","11380","10700","1","152","62","대*스*이*빌","","301","2010",1,75,280.2,21943
"1130510300105270061","202005","11530-6181","11380-66947","서**별**서** **동**0**2**","11620","11800","1","337","11","","","403","2002",0,6,533.23,28311
"1117012300100080015","202008","11290-100219712","11530-59834","서**별**성** **동**-**8**","11590","10900","1","48","201","","","402","2019",4,5,247.1,19113
"1130510300102690037","202010","11350-13852","11215-100215905","서**별**마** **동**4**1**지**","11260","10600","1","563","18","","","801","2016",3,16,310.3,30918
"1162010200100980395","202105","11380-100256938","11710-157539","서**별**영**구**림**8**-**지**","11290","12400","1","26","0","창* *원*힐*리*5*","","402호","2020",0,28,570.83,13475
"1130510300101300145","202003","11200-19779","11260-100215788","서**별**서** **동**5**-**지**","11170","13100","1","632","18","복*연*주*","용민스위트빌","202","2004",6,8,494.55,22787
"1154510300110050000","202001","11350-100212069","11680-63711","서**별**도** **동**3**1**번**","11620","11400","1","272","1","그*이*빌","에이동","202","2012",0,4,298.08,19696
"1171011400100170020","202006","11545-100227039","11350-70115","서**별**서** **동**5**-**지**","11590","10600","1","39","11","","","102","1994",2,15,473.98,17814
"1162010100116880079","202006","11290-100237834","11170-100182714","서**별**성** **동**8**1**번**","11140","10300","1","82","18","한*아*린","토미하우스","301","1991",0,68,679.4,24120
"1153010900101410000","202011","11320-100210334","11620-92456","서**별**금** **동**3**1**번**","11380","10800","1","413","21","베*트*1","나동","302","2001",5,26,725.5,19399
"1154510200102980010","202101","11110-22701","11470-100214369","서**별**광** **동**0**3**지**","11590","10800","1","854","32","","","402","1997",6,17,220.19,20342
"1165010200102990000","202001","11740-100230313","11530-97022","서**별**용** **로** **6**","11710","10700","1","443","5","","","501","1998",2,128,578.6,16087
"1171010600100160001","202104","11710-100447819","11710-94357","서**별**광** **동**0**4**","11650","10600","1","869","17","","","301","1996",3,20,390.7,7779
"1171010400101100009","202105","11500-1741","11470-100218633","서**별**구** **동**3**1**지**","11650","10300","1","550","6","신*하*츠*","101동","301","2017",5,119,295.64,19037
"1156012800102570000","202009","11380-100268025","11680-90433","서**별**강** **동**3**2**지**","11710","10300","1","300","0","엘*하*스","","502호","2016",2,12,866.89,12157
"1171010600100450012","202103","11650-6857","11380-61109","서**별**동**구**농**1**-**번**","11230","10300","1","6","0","","","204","1996",14,40,433.19,15470
"1129011700101440000","202009","11260-100194954","11500-174095","서**별**강** ** **0**1**","11305","10800","1","548","3","","1동","B동601호","2002",5,29,525.55,10184
"1141011100101360034","202102","11470-18049","11350-100215932","서**별**강** **동**9**1**1**","11560","10200","1","734","0","","","102호","1996",8,7,292.01,21925
"1132010700106070030","202004","11620-22207","11140-100221122","서**별**용** **동** **1**번**","11380","10100","1","213","109","연*주*","","삼층302호","1994",5,48,506.82,11909
"1138010700100880025","202007","11545-3536","11305-58361","서**별**용** **동**-**3**","11290","10900","1","515","13","","","1층2","1986",0,1,295.12,16475
"1141011600102260000","202007","11620-100218920","11290-100235776","서**별**강** **동**6**8**지**","11500","11800","1","651","0","","","301","2003",1,262,802.7,29118
"1126010400102400121","202010","11305-100228652","11500-116714","서**별**중** **동**9**2**지**","11500","10400","1","54","23","","용수빌라","403","2015",1,7,413.48,18013
"1121510500107740001","202003","11470-100181864","11380-64316","서**별**금** **동**8**2**","11200","10100","1","930","42","대*쉐*빌","","304","1995",0,9,432.62,16195
"1168010100107660001","202104","11260-100214581","11140-68439","서**별**은** **동**1**지**","11710","10600","1","593","6","형*쉐*빌","101동","304","2019",0,8,301.99,27747
"1171010400101390024","202005","11290-39801","11380-60930","서**별**서** **동**7**1**지**","11530","10300","1","221","28","","105동","301호","2002",2,39,654.36,17106
"1171010500101650010","202001","11500-20060","11710-76294","서**별**성** **동**2**9**지**","11410","10500","1","405","15","","2동","201","1977",0,23,366.92,31493
"1130510100103140022","202012","11470-100228248","11500-125270","서**별**관** **동**0**3**지**","11650","10600","1","292","88","","","3층 302","1989",0,26,294.41,11376
"1147010200107340031","202001","11680-100260390","11410-100194319","서**별**구** **동**2**번**","11500","13100","1","148","120","","","3-5호","2015",30,13,830.85,109698
"1129013300102660047","202008","11380-100226401","11500-100225354","서**별**양** **동**2**1**지**","11680","10600","1","27","1","이*아* *화","","402","2003",28,7,260.01,26038
"1165010100109320003","202103","11500-100328560","11470-100208940","서**별**강** **동**9**2**2**","11680","10800","1","68","2","","","401호","2010",0,6,262.92,25473
"1130510100107912835","202008","11500-100337629","11620-100269780","서**별**강** **동**4**8**지**","11290","11200","1","159","4","로*나*","","203","2013",2,34,283.52,21585
"1126010100100910014","202004","11380-100273814","11500-72934","서**별**광** **동**3**3**지**","11710","10200","1","1608","20","","다","304","1990",21,58,482.69,9279
"1150010900102720053","202006","11590-26253","11440-108928","서**별**중** **동**3**4**지**","11260","10800","1","647","27","미*내*리*","","401","2003",1,49,435.4,24770
"1126010100103710125","202012","11500-100237023","11500-138910","서**별**도** ** **3**6**","11170","10400","1","410","13","","가동","403","2001",1,25,435.07,10626
"1121510500100160009","202007","11380-33104","11380-67744","서**별**구** ** **1**번**","11710","10700","1","962","12","","","401","2001",0,257,254.94,11413
"1168010800102300021","202105","11410-25869","11530-49124","서**별**도** **동**3**1**","11215","13200","1","429","15","","","202호","2010",1,15,243.62,31612
