자치구명,행정동명,행정동코드,HVI
강남구,개포1동,11230680,42
강남구,개포2동,11230800,56
강남구,개포4동,11230710,44
강남구,논현1동,11230520,35
강남구,논현2동,11230530,22
강남구,대치1동,11230600,42
강남구,대치2동,11230790,30
강남구,대치4동,11230630,35
강남구,도곡1동,11230660,44
강남구,도곡2동,11230670,58
강남구,삼성1동,11230580,35
강남구,삼성2동,11230590,36
강남구,세곡동,11230760,1
강남구,신사동,11230510,43
강남구,압구정동,11230770,33
강남구,역삼1동,11230640,38
강남구,역삼2동,11230650,35
강남구,일원1동,11230730,58
강남구,일원본동,11230720,0
강남구,청담동,11230780,32
강동구,고덕1동,11250550,82
강동구,고덕2동,11250560,92
강동구,길동,11250740,41
강동구,둔촌2동,11250710,38
강동구,명일1동,11250530,33
강동구,명일2동,11250540,71
강동구,상일동,11250760,39
강동구,성내1동,11250650,25
강동구,성내2동,11250660,54
강동구,성내3동,11250670,29
강동구,암사1동,11250720,27
강동구,암사2동,11250580,58
강동구,암사3동,11250590,40
강동구,천호1동,11250610,26
강동구,천호2동,11250730,30
강동구,천호3동,11250630,44
강북구,미아동,11090700,83
강북구,번1동,11090600,55
강북구,번2동,11090610,89
강북구,번3동,11090620,75
강북구,삼각산동,11090730,69
강북구,삼양동,11090690,46
강북구,송중동,11090710,68
강북구,송천동,11090720,56
강북구,수유1동,11090630,52
강북구,수유2동,11090640,52
강북구,수유3동,11090650,51
강북구,우이동,11090740,48
강북구,인수동,11090750,56
강서구,가양1동,11160751,36
강서구,공항동,11160690,59
강서구,등촌1동,11160520,50
강서구,등촌2동,11160530,33
강서구,등촌3동,11160540,23
강서구,발산1동,11160670,25
강서구,방화1동,11160700,45
강서구,방화2동,11160710,48
강서구,방화3동,11160761,32
강서구,염창동,11160510,38
강서구,우장산동,11160740,49
강서구,화곡1동,11160730,49
강서구,화곡2동,11160570,53
강서구,화곡3동,11160580,43
강서구,화곡4동,11160590,51
강서구,화곡6동,11160610,48
강서구,화곡8동,11160630,53
강서구,화곡본동,11160550,45
관악구,낙성대동,11210580,45
관악구,난곡동,11210810,59
관악구,난향동,11210710,66
관악구,남현동,11210630,35
관악구,대학동,11210730,49
관악구,미성동,11210830,53
관악구,보라매동,11210520,30
관악구,삼성동,11210820,59
관악구,서림동,11210660,68
관악구,서원동,11210640,68
관악구,성현동,11210790,54
관악구,신림동,11210690,67
관악구,신사동,11210680,42
관악구,신원동,11210650,88
관악구,은천동,11210780,60
관악구,인헌동,11210620,51
관악구,조원동,11210720,54
관악구,중앙동,11210610,47
관악구,청룡동,11210800,50
관악구,청림동,11210540,70
관악구,행운동,11210570,63
광진구,광장동,11050630,30
광진구,구의1동,11050600,49
광진구,구의2동,11050610,19
광진구,구의3동,11050620,32
광진구,군자동,11050540,39
광진구,능동,11050590,31
광진구,자양1동,11050640,43
광진구,자양2동,11050650,33
광진구,자양3동,11050660,43
광진구,자양4동,11050670,48
광진구,중곡1동,11050550,36
광진구,중곡2동,11050560,34
광진구,중곡3동,11050570,38
광진구,중곡4동,11050580,16
광진구,화양동,11050530,70
구로구,가리봉동,11170700,57
구로구,개봉1동,11170720,58
구로구,개봉2동,11170640,40
구로구,개봉3동,11170650,32
구로구,고척1동,11170610,45
구로구,고척2동,11170620,49
구로구,구로1동,11170520,67
구로구,구로2동,11170710,39
구로구,구로3동,11170540,91
구로구,구로4동,11170550,56
구로구,구로5동,11170560,43
구로구,수궁동,11170690,48
구로구,신도림동,11170510,46
구로구,오류1동,11170670,35
구로구,오류2동,11170730,58
구로구,항동,11170740,50
금천구,가산동,11180510,41
금천구,독산1동,11180520,47
금천구,독산2동,11180530,46
금천구,독산3동,11180540,41
금천구,독산4동,11180550,37
금천구,시흥1동,11180570,45
