순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용도,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감율,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진 설계 적용 여부,내진 능력
seq,plot_lc,signgu_cd,lgldong_cd,plot_div_cd,bun,ji,mng_bldstr_regstr,regstr_div_cd,regstr_div_cd_nm,regstr_knd_cd,regstr_knd_cd_nm,rdnmsys,buld_nm,sprar_nm,blck,lot,outoflot_cnt,nadres_rd_cd,nadres_lgldong_cd,nadres_grnd_udgd_cd,nadres_bbno,nadres_buno,dong_nm,main_atach_div_cd,main_atach_div_cd_nm,plot_ar,bld_ar,bdtlrt,totflar,flart_calc_totflar,flart,strct_cd,strct_cd_nm,etc_strct,main_ppos_cd,main_ppos_cd_nm,etc_ppos,rf_cd,rf_cd_nm,etc_rf,gnr_cnt,hshld_cnt,hgt,grnd_fl_cnt,udgd_fl_cnt,rdng_elvtr_cnt,emgnc_usg_elvtr_cnt,atach_bldstr_cnt,atach_bldstr_ar,tot_dong_totflar,insdhous_mchntp_cnt,insdhous_mchntp_ar,outhous_mchntp_cnt,outhous_mchntp_ar,insdhous_indptp_cnt,insdhous_indptp_ar,outhous_indptp_cnt,outhous_indptp_ar,prmsn_dd,bgncst_dd,use_aprv_dd,prmsn_no_yr,prmsn_no_instt_cd,prmsn_no_instt_cd_nm,prmsn_no_div_cd,prmsn_no_div_cd_nm,hoadr,energy_efic_grd,energy_redcn_rt,epi,ecofrnd_bldstr_grd,ecofrnd_bldstr_cert_score,intlgnt_bldstr_grd,intlgnt_bldstr_cert_score,crt_ymd,rserthqk_dsign_aplcn_yn,rserthqk_ablty
1,서울특별시 종로구 궁정동 1번지,11110,10300,0,1,0,11110-1308,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,0E-9,0E-9,79.870000000,0E-9,0E-9,51,일반목구조,목조,1000,단독주택,주택,20,기와,와즙,0,1,0E-9,1,0,0,0,0,0E-9,79.870000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
2,서울특별시 종로구 궁정동 1번지,11110,10300,0,1,0,11110-1309,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,0E-9,0E-9,59.660000000,0E-9,0E-9,51,일반목구조,목조,1000,단독주택,주택,20,기와,"와즙, 도단즙",0,1,0E-9,1,0,0,0,0,0E-9,59.660000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
3,서울특별시 종로구 궁정동 1번지,11110,10300,0,1,0,11110-1310,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,0E-9,0E-9,7204.820000000,0E-9,0E-9,21,철근콘크리트구조,철근콘크리트조,14000,업무시설,"사무실, 내무반",10,(철근)콘크리트,스라브,0,0,0E-9,4,1,0,0,3,331.110000000,7204.820000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
4,서울특별시 종로구 궁정동 1번지,11110,10300,0,1,0,11110-1311,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,1,부속건축물,0E-9,0E-9,0E-9,41.600000000,0E-9,0E-9,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,초소,10,(철근)콘크리트,스라브즙,0,1,0E-9,1,0,0,0,0,0E-9,41.600000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,19671120,,,,,,0,,0E-9,0,,0,,0,20230904,0,
5,서울특별시 종로구 궁정동 1-1번지,11110,10300,0,1,1,11110-100180044,1,일반,2,일반건축물,서울특별시 종로구 창의문로 12,칠궁,,,,0,111103100014,10302,0,12,0,선희궁,0,주건축물,0E-9,53.590000000,0E-9,53.590000000,53.590000000,0E-9,51,일반목구조,목조,5000,문화및집회시설,문화및집회시설,20,기와,기와,0,0,0E-9,1,0,0,0,0,0E-9,53.590000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
6,서울특별시 종로구 궁정동 1-1번지,11110,10300,0,1,1,11110-100180045,1,일반,2,일반건축물,서울특별시 종로구 창의문로 12,칠궁,,,,0,111103100014,10302,0,12,0,대빈궁,0,주건축물,0E-9,56.950000000,0E-9,56.950000000,56.950000000,0E-9,51,일반목구조,목조,5000,문화및집회시설,문화및집회시설,20,기와,기와,0,0,0E-9,1,0,0,0,0,0E-9,56.950000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
7,서울특별시 종로구 궁정동 1-1번지,11110,10300,0,1,1,11110-100180046,1,일반,2,일반건축물,서울특별시 종로구 창의문로 12,칠궁,,,,0,111103100014,10302,0,12,0,저경궁,0,주건축물,0E-9,52.340000000,0E-9,52.340000000,52.340000000,0E-9,51,일반목구조,목조,5000,문화및집회시설,문화및집회시설,20,기와,기와,0,0,0E-9,1,0,0,0,0,0E-9,52.340000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
8,서울특별시 종로구 궁정동 1-1번지,11110,10300,0,1,1,11110-100180047,1,일반,2,일반건축물,서울특별시 종로구 창의문로 12,칠궁,,,,0,111103100014,10302,0,12,0,육상궁,0,주건축물,0E-9,53.570000000,0E-9,53.570000000,53.570000000,0E-9,51,일반목구조,목조,5000,문화및집회시설,문화및집회시설,20,기와,기와,0,0,0E-9,1,0,0,0,0,0E-9,53.570000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
9,서울특별시 종로구 궁정동 1-1번지,11110,10300,0,1,1,11110-100180048,1,일반,2,일반건축물,서울특별시 종로구 창의문로 12,칠궁,,,,0,111103100014,10302,0,12,0,이안청(서),0,주건축물,0E-9,24.670000000,0E-9,24.670000000,24.670000000,0E-9,51,일반목구조,목조,5000,문화및집회시설,문화및집회시설,20,기와,기와,0,0,0E-9,1,0,0,0,0,0E-9,24.670000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
10,서울특별시 종로구 궁정동 1-1번지,11110,10300,0,1,1,11110-100180051,1,일반,2,일반건축물,서울특별시 종로구 창의문로 12,칠궁,,,,0,111103100014,10302,0,12,0,이안청(덕안궁),0,주건축물,0E-9,16.290000000,0E-9,16.290000000,16.290000000,0E-9,51,일반목구조,목조,5000,문화및집회시설,문화및집회시설,20,기와,기와,0,0,0E-9,1,0,0,0,0,0E-9,16.290000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20230904,0,
1,서울특별시 종로구 효자동 6번지,11110,10400,0,6,0,11110-27313,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,0E-9,0E-9,191.740000000,0E-9,0E-9,11,벽돌구조,연와조,1000,단독주택,주택,20,기와,,0,1,0E-9,2,1,0,0,0,0E-9,191.740000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20171118,,
2,서울특별시 종로구 효자동 14번지,11110,10400,0,14,0,11110-24663,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,0E-9,0E-9,105.790000000,0E-9,0E-9,51,일반목구조,"목조, 연와조",1000,단독주택,주택,20,기와,와즙,0,1,0E-9,2,0,0,0,1,3.310000000,105.790000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20171118,,
3,서울특별시 종로구 효자동 16번지,11110,10400,0,16,0,11110-22395,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,0E-9,0E-9,32.730000000,0E-9,0E-9,51,일반목구조,목조,1000,단독주택,주택,20,기와,와즙,0,1,0E-9,1,0,0,0,0,0E-9,32.730000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20171118,,
4,서울특별시 종로구 효자동 25번지,11110,10400,0,25,0,11110-19224,1,일반,2,일반건축물,서울특별시 종로구 자하문로 62,,,,,0,111103100012,10404,0,62,0,,0,주건축물,0E-9,0E-9,0E-9,69.620000000,0E-9,0E-9,51,일반목구조,목조,4000,제2종근린생활시설,제2종근린생활시설,20,기와,와즙,0,1,0E-9,1,0,0,0,0,0E-9,69.620000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20210728,0,
5,서울특별시 종로구 효자동 25번지,11110,10400,0,25,0,11110-19225,1,일반,2,일반건축물,서울특별시 종로구 자하문로 62,,,,,0,111103100012,10404,0,62,0,,0,주건축물,314.000000000,0E-9,0E-9,463.340000000,0E-9,0E-9,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,평옥개,0,1,10.250000000,3,0,0,0,0,0E-9,463.340000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,19710801,,,,,,0,,0E-9,0,,0,,0,20241202,0,
