대지위치,gu_name,hdong_code,hdong_name,SYDATE,total_area,total_units,PNU,lng,lat
서울특별시 마포구 아현동 751-11,마포구,11140770,공덕동,1984-08-06,0.0,6.0,1144010100007510011,126.961305420831,37.5526843210065
서울특별시 영등포구 당산동3가 561,영등포구,11190550,당산1동,2003-06-25,0.0,86.0,1156011300005610000,126.900434866955,37.5244567573023
서울특별시 양천구 신정동 1023-2,양천구,11150640,신정1동,2002-09-06,194.5,8.0,1147010100010230002,126.858753554656,37.5202458687211
서울특별시 양천구 신월동 238-25,양천구,11150570,신월1동,1990-06-23,0.0,6.0,1147010300002380025,126.838703849616,37.5266928051912
서울특별시 양천구 목동 318-186,양천구,11150530,목3동,1998-06-11,231.0,8.0,1147010200003180186,126.867719273101,37.5417441274025
서울특별시 양천구 목동 956,양천구,11150530,목3동,2005-06-23,0.0,110.0,1147010200009560000,126.867150717582,37.5468252120401
서울특별시 양천구 목동 727-16,양천구,11150540,목4동,2007-04-30,138.7,5.0,1147010200007270016,126.866183264049,37.5370381884891
서울특별시 양천구 목동 775-1,양천구,11150540,목4동,2007-07-06,162.1,7.0,1147010200007750001,126.86670158749,37.5337940031224
서울특별시 양천구 목동 405-140,양천구,11150510,목1동,1995-03-10,683.0,16.0,1147010200004050140,126.87280780847,37.5236516803374
서울특별시 양천구 신정동 885-28,양천구,11150720,신정4동,2003-01-10,235.4,8.0,1147010100008850028,126.85947399473,37.5272537288871
서울특별시 양천구 신월동 963-15,양천구,11150630,신월7동,1986-11-14,0.0,6.0,1147010300009630015,126.834943112914,37.522362892579
서울특별시 양천구 신월동 995-5,양천구,11150630,신월7동,1986-08-27,200.0,6.0,1147010300009950005,126.837845605324,37.5193421593678
서울특별시 양천구 신월동 964-3,양천구,11150630,신월7동,1986-12-08,187.0,6.0,1147010300009640003,126.835347951782,37.5221702828749
서울특별시 양천구 목동 601-5,양천구,11150530,목3동,1994-07-23,364.5,12.0,1147010200006010005,126.867987033201,37.5482020643945
서울특별시 양천구 신월동 331-68,양천구,11150630,신월7동,1994-11-12,439.0,19.0,1147010300003310068,126.826634181964,37.5222288126998
서울특별시 양천구 목동 318-89,양천구,11150530,목3동,1990-12-01,0.0,8.0,1147010200003180089,126.866749135878,37.5431879687666
서울특별시 양천구 신월동 229-15,양천구,11150570,신월1동,2003-11-13,207.5,8.0,1147010300002290015,126.837212481416,37.529389887351
서울특별시 양천구 신월동 58-7,양천구,11150610,신월5동,1986-12-18,111.1,3.0,1147010300000580007,126.829804945294,37.5387925507571
서울특별시 양천구 신월동 140-2,양천구,11150570,신월1동,2002-08-30,161.8,7.0,1147010300001400002,126.830403451381,37.534516817732
서울특별시 동작구 상도동 210-206,동작구,11200560,상도4동,2022-08-03,336.0,11.0,1159010200002100206,126.943211762568,37.4979889686418
서울특별시 동대문구 장안동 293-15,동대문구,11060880,장안2동,2002-10-16,185.9,8.0,1123010600002930015,127.069653757444,37.5734106012197
서울특별시 성북구 돈암동 38-8,성북구,11080580,돈암1동,2004-06-10,312.54,6.0,1129010300000380008,127.021313373036,37.5999318404259
서울특별시 성북구 동소문동4가 152-2,성북구,11080810,성북동,1991-12-31,0.0,12.0,1129010700001520002,127.0107713988,37.5916792905173
서울특별시 도봉구 쌍문동 26-101,도봉구,11100520,쌍문2동,2003-08-29,281.0,9.0,1132010500000260101,127.036265548053,37.6598199900099
서울특별시 도봉구 쌍문동 75-103,도봉구,11100520,쌍문2동,2003-01-16,111.0,4.0,1132010500000750103,127.036127759004,37.6540186087525
서울특별시 도봉구 쌍문동 137-56,도봉구,11100540,쌍문4동,1991-12-31,148.8,10.0,1132010500001370056,127.033095104587,37.6516680237856
서울특별시 강남구 역삼동 900,강남구,11230640,역삼1동,2021-03-31,,,1168010100009000000,127.039162050559,37.507400373274
서울특별시 강남구 역삼동 690-42,강남구,11230640,역삼1동,2016-05-18,378.6,16.0,1168010100006900042,127.042638016075,37.5066741310288
서울특별시 도봉구 쌍문동 286-54,도봉구,11100510,쌍문1동,2004-06-30,167.0,4.0,1132010500002860054,127.024114217029,37.6506177632167
서울특별시 도봉구 방학동 272,도봉구,11100570,방학3동,1986-12-31,0.0,84.0,1132010600002720000,127.029468581348,37.6609238743742
서울특별시 도봉구 쌍문동 378-37,도봉구,11100510,쌍문1동,1991-05-27,0.0,15.0,1132010500003780037,127.025825798039,37.6480912241032
서울특별시 도봉구 방학동 632-92,도봉구,11100560,방학2동,2000-12-26,166.0,5.0,1132010600006320092,127.034335068835,37.6650120215702
