idx,lng,lat,hdong_code,hdong_name,b_code
1,126.961305420831,37.5526843210065,1144056500,공덕동,1144010100
15,126.900434866955,37.5244567573023,1156055000,당산1동,1156011300
31,126.858753554656,37.5202458687211,1147062000,신정1동,1147010100
32,126.838703849616,37.5266928051912,1147056000,신월1동,1147010300
33,126.867719273101,37.5417441274025,1147053000,목3동,1147010200
35,126.867150717582,37.5468252120401,1147053000,목3동,1147010200
37,126.866183264049,37.5370381884891,1147054000,목4동,1147010200
39,126.86670158749,37.5337940031224,1147054000,목4동,1147010200
40,126.87280780847,37.5236516803374,1147051000,목1동,1147010200
49,126.85947399473,37.5272537288871,1147065000,신정4동,1147010100
53,126.834943112914,37.522362892579,1147061100,신월7동,1147010300
54,126.837845605324,37.5193421593678,1147061100,신월7동,1147010300
55,126.835347951782,37.5221702828749,1147061100,신월7동,1147010300
57,126.867987033201,37.5482020643945,1147053000,목3동,1147010200
73,126.826634181964,37.5222288126998,1147061100,신월7동,1147010300
74,126.866749135878,37.5431879687666,1147053000,목3동,1147010200
75,126.837212481416,37.529389887351,1147056000,신월1동,1147010300
76,126.829804945294,37.5387925507571,1147060000,신월5동,1147010300
77,126.830403451381,37.534516817732,1147056000,신월1동,1147010300
91,126.943211762568,37.4979889686418,1159056000,상도4동,1159010200
95,127.069653757444,37.5734106012197,1123066000,장안2동,1123010600
96,127.021313373036,37.5999318404259,1129058000,돈암1동,1129010300
98,127.0107713988,37.5916792905173,1129052500,성북동,1129010700
99,127.036265548053,37.6598199900099,1132067000,쌍문2동,1132010500
106,127.036127759004,37.6540186087525,1132067000,쌍문2동,1132010500
109,127.033095104587,37.6516680237856,1132068100,쌍문4동,1132010500
110,127.039162050559,37.507400373274,1168064000,역삼1동,1168010100
114,127.042638016075,37.5066741310288,1168064000,역삼1동,1168010100
116,127.024114217029,37.6506177632167,1132066000,쌍문1동,1132010500
117,127.029468581348,37.6609238743742,1132071000,방학3동,1132010600
119,127.025825798039,37.6480912241032,1132066000,쌍문1동,1132010500
120,127.034335068835,37.6650120215702,1132070000,방학2동,1132010600
121,127.037589739679,37.6666126125751,1132070000,방학2동,1132010600
122,127.028533511046,37.6634040552475,1132071000,방학3동,1132010600
123,127.037605986788,37.6639945374436,1132069000,방학1동,1132010600
157,127.080308529909,37.6280886404723,1135060000,공릉2동,1135010300
160,127.065210480805,37.6579249388073,1135064000,상계2동,1135010500
165,127.119333757541,37.4956828023989,1171062000,가락본동,1171010700
172,127.045444145477,37.4947534068936,1168065000,역삼2동,1168010100
175,127.032074062821,37.501673287504,1168064000,역삼1동,1168010100
176,126.903914833295,37.4394545284625,1154569000,시흥3동,1154510300
179,127.063983775645,37.6576198173239,1135064000,상계2동,1135010500
181,127.050702832465,37.6731076450664,1135063000,상계1동,1135010500
190,126.904334604295,37.4657357975743,1154562000,독산2동,1154510200
192,127.102943397082,37.5048343294963,1171060000,석촌동,1171010500
193,127.154756351462,37.4926208169943,1171054000,마천1동,1171011400
199,127.078239641965,37.6205293088547,1135059500,공릉1동,1135010300
200,127.067067190793,37.6607473938872,1135064000,상계2동,1135010500
201,127.083557413114,37.6719088426729,1135066500,상계3.4동,1135010500
202,127.083251282298,37.6501135119681,1135061900,중계본동,1135010600
203,126.960443505036,37.5640679540862,1141056500,충현동,1141010200
204,126.959691102217,37.5654264919159,1141056500,충현동,1141010200
205,127.099712597378,37.5037577868062,1171060000,석촌동,1171010500
206,127.098102514279,37.4995635125733,1171060000,석촌동,1171010500
207,126.859357272818,37.5276601216969,1147065000,신정4동,1147010100
208,126.960073771155,37.5624970325236,1141056500,충현동,1141010200
209,126.958794223203,37.5703103898017,1141052000,천연동,1141010800
210,127.089957175527,37.5031489705304,1171061000,삼전동,1171010600
211,127.157072561361,37.4942528162371,1171054000,마천1동,1171011400
212,127.117756713959,37.5065646564772,1171059000,송파2동,1171010400
213,127.116933624193,37.5102208487871,1171056200,방이2동,1171011100
214,127.036417271666,37.4858742216599,1168065500,도곡1동,1168011800
215,127.026365863753,37.5116812618561,1168052100,논현1동,1168010800
216,127.0986197569,37.4682324125414,1168070000,세곡동,1168011100
218,127.036855650007,37.5142007255001,1168053100,논현2동,1168010800
219,127.03988920382,37.4932100960191,1168064000,역삼1동,1168010100
220,126.904594023315,37.4372634492119,1154569000,시흥3동,1154510300
240,127.026076576838,37.6351692502231,1130559500,번1동,1130510200
244,126.936952049788,37.5044826761957,1159054000,상도2동,1159010200
257,126.844688417419,37.5033854830703,1153074000,개봉1동,1153010700
260,126.894368886562,37.4691573671829,1154561000,독산1동,1154510200
263,126.908107579412,37.4560419225787,1154570000,시흥4동,1154510300
277,126.858698301192,37.5466588966246,1150053000,등촌2동,1150010200
281,126.951911960778,37.5075179916441,1159053000,상도1동,1159010200
297,127.168769167952,37.5461236803181,1174052500,상일1동,1174010300
298,,,,,
309,,,,,
313,127.056164203529,37.5192445083315,1168058000,삼성1동,1168010500
316,127.031062918393,37.5240825213337,1168054500,압구정동,1168010700
356,127.135444991842,37.5494739006053,1174057000,암사1동,1174010700
357,127.131362136388,37.54895656522,1174057000,암사1동,1174010700
369,127.133071146813,37.55456669521,1174057000,암사1동,1174010700
370,127.139089956581,37.52982994931,1174070000,둔촌2동,1174010600
371,127.122755657454,37.5447811390329,1174061000,천호2동,1174010900
372,127.125000178772,37.5303727883377,1174064000,성내1동,1174010800
375,127.142045191813,37.5385644216691,1174068500,길동,1174010500
377,127.121822834261,37.5427917985076,1174061000,천호2동,1174010900
390,127.139655596413,37.5514697511787,1174057000,암사1동,1174010700
392,127.171664703784,37.5611806601526,1174051500,강일동,1174011000
394,127.173086679368,37.5595969760082,1174051500,강일동,1174011000
412,127.125158429537,37.5326594507284,1174065000,성내2동,1174010800
431,127.134725856123,37.5561506635634,1174059000,암사3동,1174010700
445,126.953528907465,37.5008597583633,1159053000,상도1동,1159010200
446,127.029004167256,37.6114404374434,1129068500,길음2동,1129013400
458,126.819629668685,37.4923055361944,1153079000,수궁동,1153011000
459,126.899487156913,37.5597257534593,1144070000,망원2동,1144012300
461,126.921302620689,37.6109696097837,1138057000,대조동,1138010600
462,127.079163452893,37.6169710525428,1126062000,묵1동,1126010400
463,127.004847060142,37.6176637868171,1129065000,정릉4동,1129013300
485,126.934277464562,37.5744473773398,1141061500,연희동,1141011700
497,126.915410722958,37.5859815991443,1141072000,북가좌2동,1141011900
498,126.922163512956,37.5810528572512,1141070000,남가좌2동,1141012000
501,126.919067331865,37.5753530696617,1141070000,남가좌2동,1141012000
502,126.810968184817,37.56818054074,1150064000,방화2동,1150010900
503,126.847001710274,37.5378171450289,1150059300,화곡8동,1150010300
504,126.846563470942,37.5341282437219,1150059300,화곡8동,1150010300
505,126.889718056549,37.486705946047,1153054000,구로3동,1153010200
506,126.82025096441,37.4853023275162,1153080000,항동,1153011200
507,126.891930195346,37.4804722024564,1153059500,가리봉동,1153010300
509,126.894405444998,37.4908985614754,1153054000,구로3동,1153010200
512,126.830052357987,37.4973128320571,1153079000,수궁동,1153010900
513,126.895823321229,37.4876286228649,1153054000,구로3동,1153010200
514,126.884040150415,37.4867836727013,1153053000,구로2동,1153010200
517,126.885424927419,37.4961026070284,1153053000,구로2동,1153010200
518,126.854721195303,37.4866684560908,1153076000,개봉3동,1153010700
519,126.843699019878,37.5027564480718,1153074000,개봉1동,1153010700
520,126.831573149009,37.5214167683111,1147061100,신월7동,1147010300
521,126.832177058171,37.5329519719666,1147056000,신월1동,1147010300
522,126.846319537039,37.5207287789737,1147057000,신월2동,1147010300
537,126.849008949341,37.5187249948144,1147064000,신정3동,1147010100
538,126.8747927751,37.5443856394712,1147052000,목2동,1147010200
539,126.832294713684,37.5354824170901,1147056000,신월1동,1147010300
540,126.84641382763,37.5255552976604,1147057000,신월2동,1147010300
541,126.825788213821,37.5362530833719,1147058000,신월3동,1147010300
542,126.833846012583,37.5244683464205,1147061100,신월7동,1147010300
543,126.858443712058,37.5239018541302,1147065000,신정4동,1147010100
555,126.876749669177,37.5448883832004,1147052000,목2동,1147010200
557,126.850615511189,37.5326497617923,1150059300,화곡8동,1150010300
558,126.857816199063,37.5507801737071,1150053000,등촌2동,1150010200
559,126.849267570175,37.5414214430456,1150059000,화곡본동,1150010300
560,126.849056087658,37.5333951586511,1150059300,화곡8동,1150010300
561,126.862364962817,37.5487232695627,1150053000,등촌2동,1150010200
562,126.816274812325,37.5670074441038,1150063000,방화1동,1150010900
563,126.834257990686,37.5428861760603,1150056000,화곡3동,1150010300
575,126.810446322487,37.5749872534995,1150063000,방화1동,1150010900
576,126.84010145728,37.5359131113083,1150054000,화곡1동,1150010300
577,126.833826208347,37.5512908889089,1150061100,발산1동,1150010600
583,126.848832370584,37.53627338724,1150059300,화곡8동,1150010300
584,126.86273202964,37.5507166139937,1150053000,등촌2동,1150010200
585,126.840270180445,37.5356357416181,1150054000,화곡1동,1150010300
586,126.837816193189,37.5530399564512,1150061500,우장산동,1150010600
587,126.932098270512,37.5660279654865,1141061500,연희동,1141011700
588,126.919601925952,37.5690961158304,1141061500,연희동,1141011700
589,126.930703318643,37.5762975977575,1141061500,연희동,1141011700
590,126.934476256206,37.5903261445194,1141068500,홍은2동,1141011800
591,126.927039586634,37.5799786536611,1141068500,홍은2동,1141011800
592,126.928346918648,37.5775210925922,1141068500,홍은2동,1141011800
593,126.924436133486,37.5823958230034,1141068500,홍은2동,1141011800
594,126.944732392243,37.5953795593755,1141066000,홍은1동,1141011800
603,126.915479498225,37.5829323278592,1141072000,북가좌2동,1141011900
604,126.90914278729,37.5814078251531,1141072000,북가좌2동,1141011900
605,126.911074418818,37.5817902360941,1141072000,북가좌2동,1141011900
