"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","사례번호(SRNUM)","본건_주소(ADDRESS)","본건_전용면적(BON_JYAREA)","사례_주소(SAMPLE_ADDRESS)","사례_본번(SAMPLE_BUNJI1)","사례_부번(SAMPLE_BUNJI2)","사례_건물이름(SAMPLE_BLDNAME)","사례_거래년월(SAMPLE_MONTH)","사례_거래금액(SAMPLE_VALUE)","사례_건축연도(SAMPLE_BUILDYEAR)","사례_전용면적(SAMPLE_JYAREA)","사례_층수(SAMPLE_FLOOR)","거리(SAMPLE_DISTANCE)","유사도(SAMPLE_SCORE)"
"1147010300109620007","202009","11470-16926","11470-89490","33","서**별**양** **동**8**5**",36.63,"서**별**양** **동**8**1**지**","0318","0006","도*주*A*",202105,9000,"2016",45.56,4,263,0.08263
"1147010200107300020","202103","11470-100220472","11470-91055","68","서**별**양** ** **5**8**",50.91,"서**별**양** **동**1**-**지**","0231","0079","더*리*",202012,20000,"2001",26.86,3,259,0.05625
"1147010300105170004","202101","11470-100234324","11470-100212200","2","서**별**양** ** **-**번**",55.41,"서**별**양** **동**6**4**","0922","0074","예*쉐*빌*9*9*4*(*9*)",201802,23000,"1994",55.47,2,407,0.12681
"1147010200107250021","202004","11470-11308","11470-100240493","34","서**별**양** **동**7**1**지**",61.71,"서**별**양** ** **1**6**지**","0950","0008","유*빌",201908,21000,"1987",58.69,4,369,0.14242
"1147010200103180028","202003","11470-8309","11470-141502","28","서**별**양** **동**1**5**",66.4,"서**별**양** **동**0**-**지**","0944","0006","칭*그*맨*",202006,10000,"2010",44.71,2,373,0.09916
"1147010300109540009","202006","11470-100231669","11470-77720","18","서**별**양** **동**2**번**",50.11,"서**별**양** ** **1**4**지**","0533","0002","미*빌*(*0*)",201907,20000,"2020",41.18,2,104,0.04227
"1147010200104970015","202007","11470-100227562","11470-70492","90","서**별**양** **동**3**5**",46.71,"서**별**양** **동**2**-**번**","0971","0000","예*빌",202004,35000,"2001",28.57,3,199,0.14912
"1147010100109590008","201912","11470-17115","11470-95239","2","서**별**양** **동**0**-**지**",44.19,"서**별**양** **동**1**2**","0926","0010","삼*그*빌*(*3*)",202002,8500,"2002",29.47,3,473,0.08699
"1147010200103180180","202002","11470-9622","11470-101328","36","서**별**양** **동**1**1**",36.36,"서**별**양** **동**8**4**","0079","0009","빌*엔",202007,17000,"1986",42.64,2,274,0.14272
"1147010200107660021","202012","11470-19648","11470-92639","51","서**별**양** ** **7**1**",29.96,"서**별**양** **동**2**-**지**","0500","0095","우*주*(*4*-*)",202003,19400,"2001",70.75,3,493,0.12749
"1147010300100660004","202104","11470-4343","11470-75832","48","서**별**양** ** **9**번**",54.29,"서**별**양** **동**0**번**","1198","0007","미*(*동*",202007,18000,"2016",37.67,2,434,0.03519
"1147010100109830001","202101","11470-17708","11470-142377","30","서**별**양** **동**8**1**",32.42,"서**별**양** **동**1**-**번**","0017","0037","8*주*(*동*",202105,15000,"2002",36.6,4,308,0.04291
"1147010300100420002","202001","11470-14880","11470-136012","17","서**별**양** ** **1**2**지**",59.7,"서**별**양** ** **1**4**","0103","0011","신*호*립",202006,10000,"2008",59.67,3,44,0.05369
"1147010300109650002","202105","11470-4839","11470-74782","5","서**별**양** ** **0**번**",41.84,"서**별**양** **동**2**5**","0318","0014","영*빌*(*6*-*)",201912,16800,"2007",39.42,1,329,0.07065
"1147010200107230018","202103","11470-21458","11470-131485","91","서**별**양** ** **5**7**",43.12,"서**별**양** **동**8**번**","0376","0007","금*빌*A*",202004,20500,"1990",43.59,1,447,0.18595
"1147010200105040008","202002","11470-12316","11470-73293","13","서**별**양** **동**3**9**",36.52,"서**별**양** **동**8**7**","0221","0004","모*주*",201910,10000,"1989",54.83,2,67,0.11188
"1147010200105340029","202009","11470-14047","11470-100211493","12","서**별**양** ** **6**9**",64.14,"서**별**양** **동**1**7**","0727","0002","희*빌*",202006,14000,"1996",41.08,3,380,0.07706
"1147010200107430010","202010","11470-3927","11470-100217797","74","서**별**양** ** **4**번**",62.07,"서**별**양** **동**7**1**지**","0067","0020","디*인*",202106,22000,"1988",40.94,1,196,0.07445
