"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","지상지하구분(FLOORTYPE)","층_번호(FLOORNUMBER)","호_이름(HONAME)","건물골조(GUJONAME)","지붕구조(ROOFNAME)","전용면적(JYAREA)","공용면적(GYAREA)","전세시세유무(HAVE_SISE1)","월세시세유무(HAVE_SISE2)"
"1165010200102470006","202103","11740-3077","11500-79891","서**별**서** **동**5**5**","11620","10100","1","0019","0059","이*주*","",20,1,"301","철근콘크리트구조","(철근)콘크리트",60.66,32.09,1,1
"1138011000102210005","202005","11500-22841","11410-66206","서**별**성** **동** **0**","11260","11100","1","0046","0023","","",20,4,"501","철근콘크리트구조","(철근)콘크리트",37.88,8.84,1,1
"1162010100106490052","202006","11380-100271094","11740-100200857","서**별**강** **동**7**8**","11260","11800","1","0460","0014","","",20,1,"203","철근콘크리트구조","(철근)콘크리트",14.04,8.14,1,1
"1154510300109430025","202105","11560-100203019","11440-100210680","서**별**관** **동**3**2**","11350","10900","1","0410","0032","","",20,5,"101","철근콘크리트구조","(철근)콘크리트",17.07,,1,1
"1121510100102420016","202003","11380-100253899","11290-100235343","서**별**노** **동**3**1**","11620","10500","1","0460","0065","미*벨","",20,1,"401","철근콘크리트구조","(철근)콘크리트",27.98,8.13,1,1
"1147010200101310007","202009","11305-13794","11500-100216675","서**별**은** **동**7**","11545","11200","1","0038","0015","일*연*주*","",20,3,"402","철근콘크리트구조","(철근)콘크리트",24.82,5.24,1,1
"1111018600102350014","202006","11440-26933","11710-113617","서**별**강** **동**1**","11590","10500","1","0410","0009","","",20,-1,"104","철근콘크리트구조","(철근)콘크리트",19.09,5.16,1,1
"1162010200106290037","202002","11500-6818","11260-33905","서**별**은** **동**9**6**","11320","10800","1","1177","0020","베*트*","",20,5,"501","철근콘크리트구조","(철근)콘크리트",61.26,6.66,1,1
"1121510100101240013","202012","11380-36694","11440-79016","서**별**서**구**가** **5**4**","11545","10100","1","0421","0052","유*3*","",10,2,"304","철근콘크리트구조","(철근)콘크리트",54.16,4.44,1,0
"1147010200103150035","202104","11440-100274883","11680-109559","서**별**금** **동**0**","11500","10200","1","1710","0035","","",20,5,"501","철근콘크리트구조","(철근)콘크리트",87.36,4.68,1,1
