대지위치,법정동코드명,대지면적,주용도코드명,기타용도내용,세대수,사용승인일자
서울특별시 양천구 신정동 1218-1,신정동,0.0,공동주택,경비실,0.0,2003-11-21
서울특별시 금천구 시흥동 1013,시흥동,0.0,공동주택,경비실,0.0,2004-08-06
서울특별시 금천구 시흥동 268-46,시흥동,0.0,공동주택,경비실,0.0,2002-12-06
서울특별시 용산구 이촌동 414,이촌동,0.0,공동주택,경비실,0.0,1999-11-01
서울특별시 강북구 미아동 1353,미아동,0.0,공동주택,경비실,1.0,2004-05-07
서울특별시 강북구 미아동 1357,미아동,0.0,공동주택,경비실,0.0,2003-12-30
서울특별시 관악구 봉천동 1739,봉천동,,공동주택,경비실,,2025-03-13
서울특별시 서초구 잠원동 165,잠원동,,공동주택,경비실,0.0,2023-06-27
서울특별시 성동구 성수동1가 708,성수동1가,,공동주택,경비실,,1999-06-11
서울특별시 성동구 성수동1가 708,성수동1가,,공동주택,경비실,,1999-06-11
서울특별시 도봉구 창동 825,창동,0.0,공동주택,경비실,0.0,2004-07-30
서울특별시 마포구 창전동 439,창전동,0.0,공동주택,경비실1,0.0,2003-11-28
서울특별시 강북구 미아동 1353,미아동,0.0,공동주택,경비실,1.0,2004-05-07
서울특별시 성동구 행당동 349,행당동,0.0,공동주택,경비실,0.0,2003-12-23
서울특별시 성북구 길음동 1281,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 중랑구 상봉동 497,상봉동,0.0,공동주택,경비실,0.0,2003-08-05
서울특별시 성북구 길음동 1281,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 금천구 시흥동 1026,시흥동,,공동주택,경비실,,2014-08-14
서울특별시 송파구 장지동 849,장지동,,공동주택,경비실,,2008-08-12
서울특별시 강남구 역삼동 763-16,역삼동,19521.0,공동주택,"경비실,화장실",,2009-12-28
서울특별시 강서구 방화동 579,방화동,13410.0,공동주택,경비실,0.0,2004-05-11
서울특별시 서초구 방배동 849-30,방배동,,공동주택,경비실,,2009-07-01
서울특별시 마포구 대흥동 804,대흥동,,공동주택,경비실,,2014-03-06
서울특별시 마포구 상암동 1743,상암동,,공동주택,경비실,,2010-10-14
서울특별시 양천구 목동 722-5,목동,0.0,공동주택,경비실,0.0,2003-05-17
서울특별시 강남구 자곡동 686,자곡동,,공동주택,경비실,,2014-03-14
서울특별시 강남구 세곡동 525,세곡동,,공동주택,경비실,,2011-11-01
서울특별시 도봉구 방학동 735,방학동,0.0,공동주택,경비실,0.0,1996-06-12
서울특별시 노원구 공릉동 108,공릉동,0.0,공동주택,경비실,0.0,2000-05-04
서울특별시 노원구 중계동 361-1,중계동,0.0,공동주택,경비실,0.0,1993-07-31
서울특별시 노원구 중계동 361-1,중계동,0.0,공동주택,경비실,0.0,1993-07-31
서울특별시 성동구 성수동1가 708,성수동1가,,공동주택,경비실,,1999-06-11
서울특별시 구로구 천왕동 275,천왕동,,공동주택,경비실,,2011-06-17
서울특별시 동대문구 휘경동 109,휘경동,0.0,공동주택,경비실,0.0,2003-07-15
서울특별시 송파구 잠실동 19,잠실동,,공동주택,경비실,,2008-09-30
서울특별시 성동구 성수동1가 708,성수동1가,,공동주택,경비실,,1999-06-11
서울특별시 마포구 신공덕동 170,신공덕동,,공동주택,경비실,,2009-02-19
서울특별시 마포구 아현동 777,아현동,,공동주택,경비실-2,,2014-09-26
서울특별시 구로구 구로동 1281,구로동,0.0,공동주택,경비실,0.0,2006-06-27
서울특별시 마포구 아현동 777,아현동,,공동주택,경비실-1,,2014-09-26
서울특별시 마포구 아현동 777,아현동,,공동주택,경비실-2,,2014-09-26
서울특별시 마포구 성산동 667,성산동,,공동주택,"지하주차장,펌프실,전기실,발전기실,통합경비실,팬룸",,2009-03-05
서울특별시 강서구 방화동 875,방화동,17791.3,공동주택,경비실-3,0.0,2003-11-29
서울특별시 강서구 방화동 880,방화동,8728.8,공동주택,경비실,0.0,2004-12-23
서울특별시 마포구 상암동 1618,상암동,,공동주택,경비실,,2009-06-22
서울특별시 동대문구 답십리동 1013,답십리동,,공동주택,경비실2,,2019-04-05
서울특별시 강동구 길동 483,길동,,공동주택,경비실2,0.0,2024-10-10
서울특별시 강서구 내발산동 751,내발산동,25157.6,공동주택,경비실,0.0,2007-10-04
서울특별시 강남구 대치동 1027,대치동,,공동주택,경비실,,2015-09-22
서울특별시 강남구 개포동 1282,개포동,,공동주택,경비실,,2020-09-28
서울특별시 강남구 역삼동 711-3,역삼동,,공동주택,경비실,,2016-06-22
