"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2026","11500","강서구","10200","등촌동","1","대지","0656","0000","경동미르웰한올림","20260414","13000","16.19","25.010000","4","","","2016","오피스텔","중개거래","서울 강서구"
"2026","11305","강북구","10300","수유동","1","대지","0735","0001","한솔그린빌(791-1238)","20260414","20000","65.13","39.000000","3","","","2007","연립다세대","직거래",""
"2026","11545","금천구","10100","가산동","1","대지","0233","0005","가산센트럴 푸르지오시티","20260414","11000","17.62","25.321000","3","","","2020","오피스텔","중개거래","서울 금천구"
"2026","11710","송파구","10100","잠실동","1","대지","0040","0000","갤러리아팰리스","20260414","69000","50.756","50.756000","5","","","2005","오피스텔","중개거래","서울 송파구"
"2026","11470","양천구","10100","신정동","1","대지","0978","0007","금정빌(978-7)","20260414","38000","21.17","10.000000","3","","","2011","연립다세대","직거래",""
"2026","11680","강남구","11200","자곡동","1","대지","0651","0000","강남유탑유블레스","20260414","14000","25.697","32.572300","6","","","2014","오피스텔","중개거래","서울 강남구"
"2026","11650","서초구","10800","서초동","1","대지","1338","0001","풍림아이원플러스","20260414","28000","27.643","0.000000","13","","","2004","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10600","대치동","1","대지","0897","0005","아이빌","20260414","46000","84.82","34.000000","5","","","2003","연립다세대","직거래",""
"2026","11680","강남구","11400","일원동","1","대지","0718","0000","샘터마을","20260414","320000","134.438","0.000000","9","","","1994","아파트","직거래",""
"2026","11215","광진구","10300","구의동","1","대지","0023","0017","삼성스위트빌","20260414","33500","73.26","33.000000","1","","","2002","연립다세대","중개거래","서울 광진구"
"2026","11470","양천구","10200","목동","1","대지","0904","0000","목동신시가지4","20260414","187000","47.25","0.000000","9","","","1986","아파트","중개거래","서울 양천구"
"2026","11710","송파구","11200","오금동","1","대지","0147","0011","삼익빌라(가동)","20260414","40000","50.4","36.000000","-1","","","1989","연립다세대","중개거래","서울 송파구"
"2026","11230","동대문구","10900","휘경동","1","대지","0246","0000","맥스타워","20260414","18000","16.76","25.950000","6","","","2021","오피스텔","중개거래","서울 동대문구"
"2026","11710","송파구","10800","문정동","1","대지","0652","0005","문정 아이파크","20260414","17800","21.57","31.750000","9","","","2017","오피스텔","중개거래","서울 송파구"
"2026","11620","관악구","10200","신림동","1","대지","1433","0136","리버파크","20260414","42500","62.6","72.910000","3","","","2015","오피스텔","중개거래","서울 관악구"
"2026","11380","은평구","10300","불광동","1","대지","0248","0000","라이프미성","20260414","78000","66.7","0.000000","2","","","1988","아파트","중개거래","서울 서초구, 서울 은평구"
"2026","11260","중랑구","10100","면목동","1","대지","1544","0000","라온프라이빗","20260414","119000","84.967","0.000000","7","","","2020","아파트","중개거래","서울 중랑구"
"2026","11500","강서구","10800","공항동","1","대지","0026","0002","라움하우스","20260413","14000","38.44","27.000000","2","","","2012","연립다세대","직거래",""
"2026","11470","양천구","10200","목동","1","대지","0531","0016","대명피렌체","20260413","32000","37.1","22.000000","2","","","2011","연립다세대","중개거래","서울 양천구"
"2026","11680","강남구","10800","논현동","1","대지","0118","0008","더원 센트럴","20260413","37500","39.15","49.610000","2","","","2018","오피스텔","중개거래","서울 강남구"
"2026","11560","영등포구","11500","당산동5가","1","대지","0009","0003","당산역해링턴타워","20260413","19000","23.59","32.770000","15","","","2015","오피스텔","중개거래","서울 영등포구"
"2026","11380","은평구","10700","응암동","1","대지","0669","0001","대주피오레","20260413","69000","84.92","0.000000","11","","","2003","아파트","중개거래","서울 서대문구"
"2026","11350","노원구","10200","월계동","1","대지","0085","0007","서울원 아이파크","20260413","189959","120.646","0.000000","15","분양권","","0","아파트","직거래",""
"2026","11620","관악구","10200","신림동","1","대지","1730","0000","신림푸르지오","20260413","102500","84.79","0.000000","11","","","2005","아파트","중개거래","서울 금천구"
"2026","11710","송파구","10800","문정동","1","대지","0652","0000","송파법조타운푸르지오시티","20260413","16400","17.47","25.540000","8","","","2018","오피스텔","중개거래","서울 송파구"
"2026","11470","양천구","10100","신정동","1","대지","1259","0000","신트리1","20260413","85000","49.8","0.000000","12","","","1999","아파트","중개거래","서울 양천구"
"2026","11470","양천구","10200","목동","1","대지","0732","0023","성림","20260413","21000","23.53","19.000000","4","","","2006","연립다세대","중개거래","서울 강남구"
"2026","11260","중랑구","10400","묵동","1","대지","0020","0000","신내대림아파트","20260413","80000","102.7","0.000000","3","","","1995","아파트","중개거래","서울 중랑구"
"2026","11380","은평구","11400","진관동","1","대지","0073","0000","웅신 미켈란의 아침","20260413","11500","19.06","32.518700","15","","","2017","오피스텔","중개거래","서울 은평구"
"2026","11230","동대문구","10400","전농동","1","대지","0006","0000","전농우성","20260413","78000","59.78","0.000000","9","","","1992","아파트","중개거래","서울 동대문구"
"2026","11740","강동구","10100","명일동","1","대지","0356","0000","우성101동","20260413","85000","84.59","0.000000","3","","","2004","아파트","직거래",""
"2026","11380","은평구","11400","진관동","1","대지","0065","0000","은평뉴타운엘크루","20260413","58000","59.98","0.000000","5","","","2017","아파트","직거래",""
"2026","11215","광진구","10500","자양동","1","대지","0645","0005","자양동현대","20260413","149000","84.55","0.000000","15","","","1993","아파트","중개거래","서울 광진구, 서울 서대문구"
"2026","11470","양천구","10300","신월동","1","대지","0547","0007","영남타운","20260413","20500","42.39","0.000000","7","","","1996","아파트","중개거래","서울 양천구"
"2026","11470","양천구","10300","신월동","1","대지","0494","0004","예건미예뜰1동","20260413","45000","71.72","0.000000","2","","","2004","아파트","중개거래","서울 양천구"
"2026","11470","양천구","10100","신정동","1","대지","0919","0019","우진하이빌","20260413","29300","41.18","24.000000","4","","","2008","연립다세대","중개거래","서울 양천구"
"2026","11410","서대문구","11900","북가좌동","1","대지","0384","0001","우공팰리스","20260413","105000","84.42","0.000000","2","","","2007","아파트","중개거래","서울 서대문구"
"2026","11350","노원구","10600","중계동","1","대지","0161","0001","중앙하이츠","20260413","69000","84.21","0.000000","8","","","1998","아파트","중개거래","서울 노원구"
"2026","11710","송파구","11200","오금동","1","대지","0035","0000","현대타운(가동)","20260413","66500","73.11","36.000000","1","","","1991","연립다세대","중개거래","서울 송파구"
