"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","본건_주소(ADDRESS)","사례번호(SRNUM)","본건_전용면적(BON_HO_AREA)","사례_주소(SR_ADDRESS)","사례_본번(SR_BUN1)","사례_부번(SR_BUN2)","사례_건물이름(SR_BLDNAME)","사례_거래년월(SR_YYYYMM)","사례_보증금(SR_DEPOSIT)","사례_월세(SR_RENT)","사례_조정_보증금(SR_MOD_DEPO)","사례_조정_월세(SR_MOD_RENT)","사례_건축연도(SR_CON_YEAR)","사례_전용면적(SR_AREA)","사례_층수(SR_FLOOR)"
"1168010800101360019","202001","11740-100226711","11710-100528577","서**별**송** **동**2**1**","1","59.91","서**별**금** **동**","0125","0029","콘*르*","202009",2000,40,5234,39,"2002",40.79,6
"1171011200100760006","202104","11440-100248038","11650-100276623","서**별**광** **동**9**번**","3","63.245","서**별**강** **동**","0098","0025","포*빌","202005",19000,79,4280,89,"1983",29.94,5
"1154510300108490011","202005","11305-13282","11470-123003","서**별**강** **동**6**1**","3","13.37","서**별**송** **동**","0083","0105","인*하*빌","202102",2000,59,6506,56,"2016",29.58,2
"1168010100107740010","202008","11545-1922","11530-115740","서**별**관** **동**4**1**번**","3","76.02","서**별**강** **동**","1559","0002","애*하*스","202002",2000,40,10042,67,"2014",57.6,6
"1165010200103920003","202105","11530-100227724","11215-100226433","서**별**은** **동**5**2**지**","1","53.64","서**별**구** **동**","0012","0005","에*캐*","202001",2500,104,5218,127,"2017",51.27,5
"1129013800102190146","202009","11650-100259534","11680-100202765","서**별**금** **동**6**1**지**","1","37.16","서**별**강** **동**","0020","0012","도*빌*트*5*3*","202106",3000,50,6150,38,"2005",13.7,4
"1168010300112630001","202010","11710-12811","11230-100241014","서**별**강** **동**9**3**지**","1","62.61","서**별**구** **동**","0794","0018","올*푸*(*동*","202001",1500,80,6727,71,"2015",56.56,2
"1168011800104130009","202102","11740-100223370","11740-100258316","서**별**구** **동**4**번**","5","27.71","서**별**성** **곡**","0966","0004","4*-*","202102",15800,70,7233,84,"2016",27.39,3
"1138010800100730002","202003","11380-37023","11380-94097","서**별**강** **동**1**-**지**","4","28.4","서**별**강** **동**","0391","0005","파*플*이*(*1*4*","202011",23000,75,6407,50,"2011",14.04,5
"1153011000100440001","202101","11710-100473402","11530-100201632","서**별**송** **동**0**1**지**","2","53.76","서**별**강** **동**","0152","0013","제*드*","202102",1000,10,3916,44,"2016",62.14,6
"1174010800102260006","202008","11500-100270837","11740-100242926","서**별**도** **동**6**6**지**","1","33.92","서**별**금** **동**","0461","0005","모*하*스*8*4*4*)","202002",17100,85,8183,63,"1993",38.78,2
"1150010300111300007","202101","11710-4347","11260-100220277","서**별**양** ** **3**5**","3","29.74","서**별**금** **동**","0213","0019","까*미*(*4*-*8*","202012",1000,40,11559,109,"2008",54.63,3
"1144012300104540005","202004","11620-24786","11440-100257622","서**별**서**구**가** **2**4**","3","17.04","서**별**관** **동**","0942","0022","인*시*빌*5*3*1*)","202001",5000,60,4106,46,"1985",39.75,4
"1153011000101220006","202005","11215-100239549","11545-100193489","서**별**강** **동**7**7**지**","2","29.49","서**별**강** **동**","0653","0002","(*0*-*)","201907",2000,50,4893,64,"1994",32.97,7
"1130510100107912798","202104","11680-15866","11545-100217726","서**별**은** **동**7**4**","2","35.18","서**별**광** **동**","0353","0025","(*-*)","202007",3000,85,7737,62,"2004",57.4,4
"1171010400100210002","202103","11710-18152","11710-100493504","서**별**관** **동**0**-**번**","2","39.22","서**별**강** **동**","0146","0035","허*빌*5*-*0*","202101",2000,70,5128,61,"2003",18.6,2
"1168010300111740003","202001","11230-100234699","11530-95601","서**별**강** **동**6**3**","1","50.03","서**별**구** **","0479","0086","(*4*-*7*)","202001",23000,70,5303,39,"1991",28.42,5
"1123010600104390009","202105","11590-100223285","11710-60324","서**별**동**구**안**4**번**","4","23.57","서**별**서** **동**","0465","0003","(*6*2*2*)","202008",24200,50,3282,57,"2009",47.86,1
"1144012000104750061","202010","11500-100270917","11380-127701","서**별**양** **동**1**7**","4","49.4","서**별**강** **동**","0260","0006","삼*스*이*","202001",2000,60,7072,64,"2006",39.95,2
"1147010300105160001","202102","11380-100278263","11500-101699","서**별**영**구**평**가**0**번**","3","34.45","서**별**성** **동**","0061","0013","송*빌*","201911",2000,45,7850,57,"2018",46.68,2
"1150010300108700013","202102","11740-100243093","11710-102739","서**별**은** **동**1**1**","2","41.72","서**별**중** **","0292","0002","빌*콘*르*1*","202003",1500,100,2729,39,"2018",29.93,5
"1123010600103170004","202011","11740-100228390","11500-100251879","서**별**금** **동**0**-**6**","3","37.25","서**별**강** **동**","0839","0006","천*빌*","202008",5000,50,3883,47,"2013",46.18,3
"1147010100109310001","202005","11680-10645","11530-100256404","서**별**강** **동**1**2**지**","4","39.93","서**별**중** **동**","0027","0021","로*빌","202007",1000,100,6806,76,"2016",45.54,3
"1150010900105920032","202102","11680-3270","11500-100196826","서**별**강** **동**9**7**지**","4","59.56","서**별**강** **동**","0367","0107","연* *니*빌","202101",300,17,4012,63,"2013",59.95,2
"1138010600102180004","202103","11500-100184313","11500-100308138","서**별**강** **동**0**-**번**","3","54.52","서**별**도** **동**","0708","0000","토*하*스","202003",22000,60,10147,63,"2012",51.98,3
"1147010300109650006","202012","11590-100235644","11740-100242910","서**별**성** **동** **-**번**","2","28.68","서**별**금** **동**","0480","0007","금*트*조*","202011",17000,5,5878,62,"2012",49.78,4
"1171010400100100005","202005","11710-100469102","11650-100264002","서**별**강** **동**8**2**지**","4","48.96","서**별**구** **","0042","0017","제*드*","202105",15000,70,5127,66,"2011",46.62,2
"1150010300109300001","202001","11620-100243693","11500-158049","서**별**강** **동**9**7**지**","1","29.69","서**별**금** **동**","0171","0009","인*하*빌","201907",5000,100,6124,39,"2009",28.245,4
"1144012300104260017","202004","11320-100210675","11230-100212741","서**별**강** **동**7**3**지**","3","16.03","서**별**마** **동**","0375","0017","해*름*티*","201908",3000,80,5304,60,"2015",50.2,4
"1174010800103830012","202102","11305-100233304","11740-100242923","서**별**동**구**안**4**-**지**","4","47.66","서**별**송** **동**","0358","0021","귀*세*빌","202103",30000,35,5390,69,"2008",26.42,3
"1174010700104590042","202003","11380-22156","11470-100224618","서**별**성** **동**3**1**번**","1","70.56","서**별**광** **","0387","0082","트*빌*4*8*2*)","201908",24000,40,7035,55,"2016",64.11,2
"1117011900100050190","202101","11380-100195183","11500-100321182","서**별**강** **동**2**5**","1","65.27","서**별**강** **동**","0862","0030","화*트*라*동","202001",3000,45,6609,45,"2002",40.9,3
"1126010300103270068","202009","11260-13858","11740-100246459","서**별**광** **동**5**4**지**","2","50.52","서**별**강** **동**","0111","0076","청*아*빌","202008",16000,50,4711,59,"2014",49.02,4
"1130510300104000018","202010","11215-100222797","11380-100231706","서**별**강** **동**9**2**지**","4","31.03","서**별**금** **동**","0309","0011","세*넥*빌","201908",10000,30,4732,41,"2014",51.83,3
"1171010800100220008","202008","11530-3212","11545-100216144","서**별**서** **동**3**1**지**","2","59.83","서**별**강** **동**","0507","0031","우*테*빌*1*4*-*3*","202104",5000,6,4823,62,"2012",61.1,3
"1138010800100460033","202004","11440-24563","11530-121813","서**별**마** **동**0**번**","2","22.08","서**별**송** **동**","0393","0018","기*채","202004",2000,30,6387,61,"2015",29.11,4
"1121510500108030003","202101","11560-100218216","11530-100218525","서**별**강** **동**4**6**","1","60.15","서**별**강** **동**","0149","0006","라*브*","201908",4000,65,5154,36,"2016",78.49,2
