"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","경도(LNG)","위도(LAT)","건물이름(BLDNAME)","(건물)동이름(DONGNAME)","주용도코드(JYONGDO_CODE)","주용도명(JYONGDO)","대지면적(DJAREA)","건축면적(GCAREA)","건폐율(GPRATE)","연면적(YAREA)","지상연면적(JSYAREA)","용적률(YJRATE)","건물높이(HIGH)","지상_층수(JSFLOOR)","지하_층수(JHFLOOR)","세대_수(SEDECNT)","사용_승인일(SYDATE)","건축년도(BUILDYEAR)","지역지구(JYJG)","전세시세_산정_세대_수(HO_COUNT1)","월세시세_산정_세대_수(HO_COUNT2)"
"1159010400100490013","202010","11230-34252","서**별**강** **동**3**2**","11680","10300","1","0327","0004",126.913133513292,37.623208783182,"","101동","02000","공동주택",194,113.07,0,461.32,311.29,198.24,0,3,0,8,"20101202","0","제2종일반주거지역",19,29
"1174010500103560001","202012","11590-11713","서**별**강** **산**6**-**","11710","10200","1","0394","0063",126.928287559656,37.4855197178675,"","","02000","공동주택",148.55,59.67,0,639.45,413.98,199.46,0,5,0,9,"20160509","0","제2종일반주거지역",15,12
"1150010300109560036","202002","11215-14615","서**별**도** **동**3**3**","11410","10900","1","0198","0016",127.13199409768,37.604888301617,"명*빌*모*","","02000","공동주택",196.3,145.26,43.1,472.05,462.72,0,18.3,2,0,16,"19911108","0","제2종일반주거지역",13,6
"1132010700106760037","202003","11110-2355","서**별**은** **동**9**4**","11590","10200","1","0029","0014",127.080208600719,37.5574103621333,"삼*아*빌","","02000","공동주택",391,160.74,0,495.4,218.16,0,16.75,5,0,15,"19901208","0","제1종일반주거지역",7,4
"1156011600102330001","202006","11530-17359","서**별**은** **동**0**1**","11500","11900","1","0472","0034",127.004086176397,37.49402604243,"","","02000","공동주택",466,109.04,56.26,540.7,449.64,197.94,10.3,5,0,3,"20210513","2002","제2종일반주거지역",3,6
"1121510300100290018","202102","11530-100240377","서**별**관** **동**9**8**","11440","10500","1","0153","0283",127.041952174511,37.507594515063,"","나동","02000","공동주택",178,177.38,46.17,180.85,464.52,213.53,15.5,3,0,12,"20160805","0","제2종일반주거지역",4,11
"1123010900102950022","202008","11200-100190332","서**별**은** **동**9**5**","11410","10600","1","0463","0014",126.929858524629,37.58209562912,"에*엠*리*","","02000","공동주택",378.6,114.22,69.89,787.52,335.16,195.17,0,3,1,1,"19891219","0","제1종일반주거지역",12,6
"1162010200100950079","202105","11290-4109","서**별**송** **동**3**2**","11710","16200","1","0057","0012",127.156427251286,37.5033499945456,"","","02000","공동주택",154.1,106.17,57.53,550.22,79.86,223.36,12.95,4,1,8,"20040916","2020","제2종일반주거지역",16,7
"1117013100106860007","202002","11590-27456","서**별**강** **동**4**1**","11650","10700","1","0178","0001",127.079346255717,37.487539147556,"","","02000","공동주택",179.5,223.83,44.14,229.5,781.26,184.2,11.65,5,1,12,"20030328","2014","제2종일반주거지역",8,4
"1130510100102580275","202101","11500-27566","서**별**서** **동**2**6**","11710","10200","1","0397","0078",126.908996181038,37.653058777893,"호*리*빌*차","","02000","공동주택",390,128.88,54.92,411.77,357.4,0,7.7,5,1,13,"20181207","2008","일반주거지역",18,3
"1132010700107000115","202003","11740-10229","서**별**광** **동**8**","11215","10200","1","0139","0020",126.856080223906,37.5925063109645,"유*아*빌","","02000","공동주택",351.7,128.34,59.6,591.35,659.78,212.97,13.15,4,0,3,"20140806","0","제2종일반주거지역",14,8
"1138010600102240004","202001","11305-100181584","서**별**관** **동**0**2**","11305","10200","1","0052","0058",126.950560568035,37.48369539013,"","","02000","공동주택",107,144.38,57.82,594.12,355.77,199.1,12.9,4,0,12,"20020304","2011","도시지역",2,0
"1174010500101260002","202005","11710-10176","서**별**성** **동**2**5**","11620","13200","1","0455","0061",127.035386608402,37.54010265891,"센*빌","","02000","공동주택",216.05,54.8,59.04,1109.34,290.88,100.02,15.9,5,1,6,"19860723","2014","제2종일반주거지역",16,8
"1154510100102370070","202008","11230-12415","서**별**중** **동**5**3**","11620","12300","1","0605","0013",126.887430126074,37.5482237691577,"","","02000","공동주택",175.9,79.2,40.91,611.51,247.02,245.38,12.2,5,0,10,"20090202","2008","제2종일반주거지역",0,0
"1165010700105770057","202004","11680-100219809","서**별**구** **동**4**2**","11530","11100","1","0329","0007",126.932682656976,37.660533620208,"형*빌*6*","B동","14000","공동주택",203.3,233.04,59.97,372.25,360.73,0,0,4,1,10,"20170420","0","",10,3
"1144012200104450002","202005","11470-16496","서**별**광** **동**5**2**","11680","10300","1","0538","0109",127.120624851651,37.581621805437,"","","02000","공동주택",145.5,141.95,58.38,310.07,540.92,204.73,14,6,0,12,"20021107","0","제2종일반주거지역",1,6
"1138010400102880038","202004","11545-8586","서**별**서** **동**3**1**","11215","10600","1","0378","0007",127.081393579022,37.574372720768,"엘*아*스*","","02000","공동주택",205.7,111.32,54.02,452.27,0,184.25,0,5,1,9,"20121108","0","도시지역",5,6
"1141011800102650071","202103","11620-16127","서**별**강** **동**6**8**","11170","10100","1","0262","0144",127.014900024034,37.5015530456425,"우*펠*스","","02000","공동주택",208,137.22,59.63,243.14,578.02,81.09,18.9,5,0,8,"20040615","2013","",6,17
"1135010500104040008","202012","11260-100235789","서**별**강** **동**7**6**","11470","10200","1","0134","0024",126.972818343486,37.508595223971,"","14동","02000","공동주택",316.37,82.8,48.94,853,659.94,87.77,14.6,5,1,15,"19950728","2018","제2종일반주거지역",8,12
"1132010700104520067","202007","11590-19612","서**별**강** **동**5**4**","11500","10900","1","0184","0273",126.962105802416,37.4942769555022,"","","02000","공동주택",378.2,131.62,57.85,566.34,443.52,232.8,0,4,0,8,"19911209","2010","제2종일반주거지역",8,8
"1129013600100520004","202104","11710-100539162","서**별**중**장**2**1**-**3**","11170","11800","1","0443","0030",127.032467908108,37.496835376957,"","","02000","공동주택",447,153.68,58.62,509.12,541.98,198.39,0,5,0,4,"20121211","2008","",4,2
"1126010500104540012","202012","11140-21885","서**별**강** **동**8**1**3**","11380","12200","1","0136","0011",127.124534202569,37.4942942731102,"목*빌*","","02000","공동주택",143.9,162.62,70.4,256.72,499.4,99.93,17.95,5,0,3,"20020830","0","",8,0
"1156010200100790002","202003","11290-100266031","서**별**강** **동**9**4**","11620","10400","1","0120","0009",127.099601949685,37.548036518876,"","","02000","공동주택",357,118.26,59.76,329.39,624.06,159.7,11.3,5,0,16,"20021031","2008","",4,5
"1111018200101300000","202004","11305-28914","서**별**관** **동**4**7**","11530","10300","1","0061","0072",126.999849486769,37.4982582789953,"","","02000","공동주택",244.6,298.62,56.75,300,527.86,98.45,15.4,3,0,8,"20170118","2018","일반주거지역",5,8
"1150010300110440014","202102","11380-17418","서**별**서** **동**6**2**","11440","11600","1","0170","0068",127.095828431766,37.5246327730891,"","","02000","공동주택",257.2,99.82,0,516.05,657.47,231.23,12.3,4,0,3,"20070508","2002","",9,8
"1174010700105040030","202009","11290-28388","서**별**강** **동**4**2**","11710","10100","1","0100","0002",127.035929073303,37.641360576167,"","","02000","공동주택",223.7,139.46,58.67,4599.2,523.71,188.69,14.55,3,1,12,"20080222","2003","제2종일반주거지역",9,4
"1121510100102580001","202005","11440-27072","서**별**금** **동**3**4**","11560","12200","1","0500","0005",127.128505388265,37.4708652909424,"제*스*빌","","02000","공동주택",182,0,61.07,328.8,475.83,0,7.7,3,1,16,"20100225","0","제2종일반주거지역",6,4
"1171011100100610004","202006","11710-100465492","서**별**강** **동**6**2**","11620","10900","1","0328","0033",127.046223418734,37.510633073182,"동*쉐*빌","103동","02000","공동주택",228,182.49,49.16,482,457.42,199.97,0,5,1,5,"19931113","2003","",16,8
"1165010700101070103","202007","11440-12123","서**별**은** **동**4**4**","11560","17400","1","0116","0025",126.995350990865,37.6700045750021,"","","02000","공동주택",298,112.18,0,461.24,653.52,178.1,14.35,4,0,10,"20080826","2015","",0,7
"1138010600100790007","202001","11590-12774","서**별**강** **산**7**-**","11215","10700","1","0784","0037",127.043504130483,37.509770501048,"","","02000","공동주택",136.01,95.36,59.98,45.19,659.88,0,0,5,1,7,"20010115","0","제2종일반주거지역",12,4
"1165010100108390024","202006","11470-14861","서**별**강** **동**8**2**","11320","13300","1","0789","0020",126.848653656989,37.5773529360107,"","","02000","공동주택",188,0,0,149.97,357.3,229.87,14,2,0,8,"19860828","2003","",11,8
"1153010800100810025","202103","11170-100183672","서**별**도** ** **8**9**","11350","11400","1","0165","0012",127.083678712799,37.6028131303756,"","","02000","공동주택",330,173.46,59.72,323.11,1079.95,130.13,7.8,5,1,10,"19860529","0","도시지역",12,12
